gene	label	hf_class	protein_ids	phenotype_vec	pheno_cluster
ABL1	1	mixed	['P00519', 'Q59FK4']	[0.330609120963493, 0.1801303043873584, 0.799257932196763]	7
ACTA1	1	mixed	['A8K3K1', 'P68133']	[-0.3802022090969142, -0.3767727668789419, 0.3287807146060952]	0
ACTA2	1	mixed	['A0AAQ5BGG7', 'A0AAQ5BGI6', 'B3KUD3', 'B3KW67', 'B4DW52', 'D2JYH4', 'P62736']	[0.0082838077798727, -0.5645607318838012, 0.3012011935562557]	1
ACTB	1	mixed	['P60709', 'Q1KLZ0', 'Q53G76', 'Q53G99', 'Q53GK6']	[0.5430777145504527, -1.1241599451600723, -0.321544046201822]	1
ACTC1	1	mixed	['A8K3K1', 'P68032', 'V9HVZ7']	[0.5559630191492352, -0.2778813036971952, 0.0206337717833732]	1
ACTG1	1	mixed	['P63261', 'Q53G76', 'Q53G99', 'Q53GK6']	[0.0564507399462426, -0.7699256810893154, 0.531727647664072]	0
ACTG2	1	mixed	['B3KW67', 'B4DW52', 'P63267']	[-0.0821246828454408, -0.813729952937585, -0.650559388994076]	4
ACTR3	1	mixed	['B4DXW1', 'P61158', 'Q59FV6']	[-0.8229979847223997, -1.3320243493157762, 0.8358050838909875]	5
AKT1	1	mixed	['B0LPE5', 'B3KVH4', 'P31749']	[0.8137495160847552, -0.0278290255355846, 0.0600508698885793]	2
ANXA2	1	mixed	['A0A024R5Z7', 'B3KRQ1', 'H0YL33', 'P07355', 'V9HW65']	[-0.6541320893172053, -0.8648053801744261, -0.1211438640255879]	4
ARPC1A	1	mixed	['A0A0K0K1L3', 'Q53GB6', 'Q92747', 'V9HVZ6']	[-0.5191704132533936, -1.3342867400902267, -0.7554282729438153]	8
ARPC1B	1	mixed	['A4D275', 'C9JEY1', 'O15143']	[1.2640593693059796, -0.4644969339564254, 0.2793370410102869]	2
ARPC2	1	mixed	['O15144', 'Q53R19']	[-1.4831787236980405, -1.3824346948936903, 0.7487299166677983]	5
ARPC3	1	mixed	['B2R4D5', 'O15145', 'Q2LE71']	[-0.6721420418303629, -1.4057002366829077, 0.5428942814586342]	5
ARPC4	1	mixed	['F8WCF6', 'P59998']	[0.158721386545896, -0.2670895847371795, -0.2685708772088611]	1
ARPC5	1	mixed	['B1ALC0', 'O15511']	[-0.5141674704482614, -0.353532258114265, 0.1101382465325448]	4
ATP6AP1	1	mixed	['A0A384MQW4', 'B3KR70', 'Q15904']	[-0.4928758473342235, -0.7159628486872736, 0.5205449597615197]	0
ATP6V0A4	1	mixed	['Q9HBG4']	[-1.0960698609673765, -1.525193952171379, 0.3127646010937532]	5
ATP6V0B	1	mixed	['E9PNL3', 'E9PNU0', 'Q99437']	[-0.4116062640236144, -0.5695928284456468, 0.1588820875932124]	4
ATP6V0C	1	mixed	['P27449']	[-0.7155382363343481, -0.8380063217600704, 0.7031564780582782]	0
ATP6V0D2	1	mixed	['Q8N8Y2']	[-0.1042948772007132, -0.005094022114962, 0.6213307691105037]	6
ATP6V0E1	1	mixed	['J3KN48', 'O15342']	[-0.2537193018781733, -0.6512150633934921, 0.4100355606208721]	0
ATP6V1A	1	mixed	['A0A994J738', 'P38606']	[-0.2739258979692446, -0.3116603175857341, 0.6929860856542508]	0
ATP6V1B1	1	mixed	['B4DWH7', 'C9JL73', 'P15313']	[-0.9280235064294878, -0.8222012846580404, -0.4873216612722296]	4
ATP6V1B2	1	mixed	['A0A140VK65', 'A0ABB0MV95', 'P21281']	[-1.5979562158913945, -0.9798146422279824, 0.2499366594412403]	5
ATP6V1C2	1	mixed	['A0A0U1RR16', 'A8KA87', 'Q8NEY4']	[0.6574296355297062, 0.2260050127965366, -0.0538345989205371]	2
ATP6V1D	1	mixed	['Q6PJ05', 'Q8N5Z9', 'Q9H3H0', 'Q9Y5K8']	[-0.0159982059832841, -0.2623101509912969, 0.4902882518160327]	7
ATP6V1E1	1	mixed	['P36543', 'Q53Y06']	[0.0271372900094894, -1.047448876894077, -0.3240064319261135]	4
ATP6V1F	1	mixed	['A4D1K0', 'Q16864']	[0.3458685383244734, -0.3279586020598112, 0.3870506862668975]	1
ATP6V1G1	1	mixed	['O75348']	[-0.6342308282828855, -0.5328560785992468, -0.3771577246472886]	4
ATP6V1G3	1	mixed	['Q96LB4']	[0.7300785442967328, -0.5628002319116648, 0.0776894431668029]	1
ATR	1	mixed	['A0A590UJ01', 'Q13535']	[-0.4141309917684541, -0.7369521520062755, 0.4260364407734003]	0
AXL	1	mixed	['M0R0W6', 'P30530']	[-0.644897927348558, -0.7915259480508381, 1.1496900119512647]	0
BANF1	1	mixed	['B2R4V4', 'O75531']	[0.541911177329472, 0.1131084130582553, 0.0716219462749241]	2
CCR5	1	mixed	['A0A089G3J8', 'A0A089G3L9', 'A0A089G3M1', 'A0A089G3N1', 'A0A089G3P4', 'A0A089G5N2', 'A0A089G6S3', 'A0A089G7J6', 'A0A089H947', 'A0A089H987', 'B0EX00', 'B0EX01', 'B2KIU0', 'B2KIU1', 'B2KKJ9', 'H9MHP3', 'H9MHP6', 'H9MHP8', 'H9MHP9', 'L7S2Y4', 'P51681', 'Q38L21', 'Q3L3Q6', 'Q5EKM9', 'Q5QIN9', 'Q5QIP1']	[-0.1845991936721607, -0.4185283495251317, 0.6286314184411816]	0
CDC42	1	mixed	['A0A590UJK8', 'P60953']	[0.3515011958128443, 0.3829455575161656, 0.5937192610118149]	6
CHEK1	1	mixed	['B4DT73', 'E7EPP6', 'O14757']	[0.6077108313985625, -0.8401651137196979, -1.431462684709619]	3
CHMP1A	1	mixed	['A0A6Q8PFF8', 'A0A6Q8PFX8', 'A0A6Q8PG85', 'Q9HD42']	[0.4123844270657928, -0.4232563525843289, 0.5048895849718144]	7
CHMP4C	1	mixed	['Q96CF2']	[0.1388592240835469, 1.0145320593758227, 0.5809098076767801]	6
CLTA	1	mixed	['C9J8P9', 'P09496']	[0.1145740443764975, -0.2878778844365047, 0.1732393405676874]	1
CLTB	1	mixed	['B4DTF9', 'P09497']	[-1.2328035808808775, -0.912897266151966, -1.6556719229380716]	8
CLTC	1	mixed	['A0A087WVQ6', 'A0A8V8TQ14', 'A0A8V8TR47', 'Q00610']	[-1.098886610405709, -0.975346250945623, 0.3323298247218598]	5
COG1	1	mixed	['Q4G0L8', 'Q8WTW3']	[0.2198876431485479, 0.5938741450888889, 0.600521508278552]	6
COG3	1	mixed	['Q96JB2']	[-0.8456589634196103, 0.6689508089720798, -0.0145722329954334]	6
COG4	1	mixed	['A0A6I8PIQ6', 'J3KNI1', 'Q6PIW8', 'Q8N8L9', 'Q9H9E3']	[-0.4818381690319363, -0.293283807847747, -0.8326120973751804]	4
COG5	1	mixed	['A0AAA9X096', 'A0AAA9X2X8', 'A0AAG2TDC7', 'A0AAG2TF56', 'Q9UP83']	[-0.231839345679086, 0.5974945954983765, 0.5466196531459104]	6
COG6	1	mixed	['A0A140VJG7', 'B4DG73', 'Q9Y2V7']	[-0.6315152214233856, -0.2434153539233623, 0.7775080538954878]	0
COG7	1	mixed	['A0A0S2Z652', 'B3KSN1', 'P83436']	[1.0214499694536698, -0.264684250666226, -0.2201829378599661]	3
COPB2	1	mixed	['H0Y938', 'P35606']	[-1.330585920277335, -1.7384761645325717, -2.2286614025625524]	8
COPE	1	mixed	['M0QXB4', 'O14579', 'Q53HJ6']	[-0.6899804984066455, -0.7100808093355993, 0.3731022668315985]	5
CSNK2B	1	mixed	['A0A1U9X7J2', 'N0E4C7', 'P67870', 'Q5SRQ3']	[-0.778763026813859, -0.2856622382290358, 0.5117819992177757]	0
CUL3	1	mixed	['Q13618']	[-0.2799729063683535, -1.234468044701199, 0.147466120607]	5
DDX3X	1	mixed	['A0A0D9SFB3', 'A0A2R8Y7T2', 'A0A2R8YDT5', 'A0A2R8YFR4', 'A0A2R8YFS5', 'B5BTY4', 'O00571']	[-0.5472053223043323, -1.2231673171808632, 0.2102729981553643]	5
EGR1	1	mixed	['A0A089VKS7', 'P18146', 'Q546S1']	[0.0550344943791665, 0.0620439957101244, 0.194093245856774]	6
EIF4E	1	mixed	['D6RBW1', 'P06730', 'Q32Q75', 'X5D7E3']	[-2.17806383921838, -0.6711398550441752, -0.2995977541937145]	8
EIF4G1	1	mixed	['B2RU10', 'E7EUU4', 'E7EX73', 'E9PGM1', 'Q04637']	[-1.591896081243538, -1.330099266897943, -0.1865642717784247]	5
ELK1	1	mixed	['P19419', 'Q6FG56']	[-0.790372187107967, -0.7929050047865547, 0.3561352170296222]	5
FLNB	1	mixed	['A0A804HK76', 'O75369']	[0.799613911294119, 0.2360349796158111, 0.5856880110839408]	2
G3BP2	1	mixed	['A0A7I2V3P9', 'A0A7I2V647', 'A0A7I2YQD9', 'A8K6V7', 'Q9UN86']	[-0.6064944261379989, -0.4359494034310184, -0.3258611194768503]	4
GAS6	1	mixed	['B4DZY7', 'Q14393']	[0.7536861808885592, 0.0010753822998756, 0.5261000694729184]	2
HSPA8	1	mixed	['P11142', 'Q53GZ6', 'Q53HF2', 'V9HW22']	[-0.6135741169292119, -0.4468909065818737, -0.2450136009184615]	4
IFIT2	1	mixed	['A0A7P0T8B3', 'B4DTZ5', 'P09913']	[0.5789394008371741, -0.3963079353988984, 0.4566935688572018]	1
IFIT3	1	mixed	['A0A7P0T7D6', 'A0A7P0T855', 'O14879', 'Q5T765']	[-0.527691272686555, -0.9960718774204528, 0.6208927138307546]	5
IFNA1	1	mixed	['G9JKF1', 'L0N195', 'P01562']	[-0.2555702065104163, -0.4015590951386099, -0.357558490936532]	4
IFNA13	1	mixed	['A0A087WWS6', 'G9JKF1']	[-0.6594744848079388, -0.4918309094113202, 0.23956147954425]	0
IFNA14	1	mixed	['P01570']	[0.0286134746149768, -1.0984397102925203, 0.343186308405338]	1
IFNA16	1	mixed	['A0A7R8C397', 'P05015', 'Q14618']	[-0.3267968480614616, -0.0844872290629929, 0.3021653590752751]	6
IFNA17	1	mixed	['A0A7R8C355', 'A0A7R8GUS8', 'P01571']	[0.3760358840728082, 0.6511307022368794, 0.4605280633191781]	6
IFNA2	1	mixed	['A0A7R8GUN5', 'A0AA50CIE2', 'P01563']	[0.4597499713519638, -0.3102936844573939, 0.4327782909340729]	1
IFNA21	1	mixed	['A0A7R8GUQ6', 'A0A7R8GUS8', 'P01568']	[0.2909963302638711, 0.1083686228035493, 0.0274103366276946]	6
IFNA4	1	mixed	['A0A7R8GUS8', 'P05014']	[-0.2453929296701316, -0.7250991579199826, 1.095445754688784]	0
IFNA5	1	mixed	['A0A7R8C382', 'P01569']	[-0.0920902672805899, -0.6423820646787028, 0.4834115658462432]	0
IFNA6	1	mixed	['A0A0A0MQU8', 'A0A7R8C308', 'P05013']	[0.9523199519786738, -0.2745615883861382, 0.8352543781055153]	7
IFNA7	1	mixed	['A0A7R8C383', 'A0A7R8GUS8', 'P01567']	[-0.3457268210195567, -0.4896427632682932, 0.662021318729753]	0
IFNA8	1	mixed	['A0A7R8C381', 'P32881']	[-1.0117583097655265, -0.5869891253399334, 0.515672397209853]	5
IFNB1	1	mixed	['A0A7R8GV38', 'P01574', 'Q15943']	[0.3877863384522579, -0.2968241329250284, 0.748047836661138]	7
IFNG	1	mixed	['A0A7R8GUN6', 'A8YQE4', 'P01579']	[0.0401134173765714, -1.298357605059972, -0.3208209927555583]	4
IL18	1	mixed	['B0YJ28', 'Q14116', 'Q96KJ8']	[0.7297106630535404, -0.2243007642824679, -0.6617909080664377]	3
INTS7	1	mixed	['Q9NVH2']	[1.039365345444617, 0.2974225529196299, -0.2084022234896879]	2
ISG15	1	mixed	['A0A096LPJ4', 'P05161']	[-1.0422503499911873, -1.5590588041564744, -0.4635130036692429]	8
ITGB1	1	mixed	['E7EUI6', 'P05556']	[-0.8152546475323232, -0.6738213764348083, 1.038070383436912]	0
KDELR1	1	mixed	['P24390']	[1.0594165808063063, 0.2444673599110534, 0.4930332358821592]	2
KDELR2	1	mixed	['P33947']	[-0.5837726436818995, -1.3645516364960666, 0.0925790571793844]	5
KPNA2	1	mixed	['A8K7D9', 'P52292']	[-1.3113498671445978, -2.310539855022148, -0.3190556243587821]	8
LAMA1	1	mixed	['P25391']	[-0.1094347270378844, -0.6768184169338622, 0.0643696740702219]	1
MAP2K2	1	mixed	['B3KS97', 'P36507']	[-0.1794725441207105, -0.685067450541168, 0.4385977950676951]	0
MAP2K3	1	mixed	['C7DUW4', 'P46734', 'Q53EZ9', 'Q6FHG1', 'Q6FI23']	[-0.1418525269332583, -0.8606701464016443, 0.0513484318323682]	1
MAP2K5	1	mixed	['B2RD76', 'Q13163']	[0.4071288832340248, 0.1143033580215456, 0.6086260107548334]	7
MAPK1	1	mixed	['P28482', 'Q1HBJ4', 'Q499G7']	[0.1969443289596459, -0.2694763308481677, 0.2411731363784295]	1
MAPK3	1	mixed	['E9PQW4', 'L7RXH5', 'P27361', 'Q8NHX0']	[-0.5228406977246925, -0.8969876873622903, -0.2936500642177533]	4
MYD88	1	mixed	['A0A0A0MSI9', 'A0A3B3ITY3', 'A0A3F2YP85', 'A0A494C0J8', 'A0A8V8TP38', 'B4E3D6', 'Q99836']	[-0.1778902237113836, -0.8160109522198171, -0.0204614179407942]	4
NCK1	1	mixed	['A0A0S2Z4Y3', 'B2R6S4', 'P16333']	[0.2057909207361911, -0.1802886238346311, 0.6897766902990948]	7
