"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Cell Cycle","60","209","652","10908","5.04e-25","4.83e-22","4.80","4.83e-22","4.13e-22","9.74e-26","R-HSA-1640170~Cell Cycle","ERCC6L,FEN1,MRE11,MCM7,RSF1,CHTF18,TUBA1C,BABAM2,PPP1CC,TUBA1B,PPP2R1A,AKT1,RMI2,RFC1,RFC2,CSNK1D,ESCO2,DYNLL2,TUBA4A,HAUS1,RBX1,MZT2A,TFDP1,ESPL1,CCNE1,DMC1,POT1,MCM4,PCNA,PSMD13,CUL1,LIN9,PMF1,SKA1,SKA2,ORC5,ORC4,PPP2CB,BRIP1,ORC6,POLR2F,CENPT,DYNC1H1,ACD,RRM2,RPA1,RPA2,MND1,MZT1,NEDD1,POLA2,POLE2,PSMC2,RPA4,UBE2N,RAD1,CENPO,RAD9B,SPC25,RAD9A"
"REACTOME_PATHWAY","Cell Cycle, Mitotic","45","209","519","10908","1.83e-17","8.75e-15","4.53","1.75e-14","7.48e-15","3.76e-18","R-HSA-69278~Cell Cycle, Mitotic","ERCC6L,FEN1,PCNA,MCM7,PSMD13,CUL1,LIN9,PMF1,SKA1,SKA2,ORC5,ORC4,PPP2CB,TUBA1C,PPP1CC,TUBA1B,ORC6,PPP2R1A,AKT1,CENPT,DYNC1H1,RRM2,RFC1,RFC2,RPA1,RPA2,CSNK1D,ESCO2,DYNLL2,MZT1,TUBA4A,HAUS1,RBX1,MZT2A,NEDD1,POLA2,TFDP1,ESPL1,CCNE1,POLE2,PSMC2,RPA4,MCM4,CENPO,SPC25"
"REACTOME_PATHWAY","Cell Cycle Checkpoints","33","209","274","10908","8.58e-17","2.74e-14","6.29","1.06e-13","2.34e-14","1.23e-17","R-HSA-69620~Cell Cycle Checkpoints","ERCC6L,MRE11,MCM7,PSMD13,CUL1,PMF1,SKA1,SKA2,ORC5,ORC4,PPP2CB,BABAM2,PPP1CC,BRIP1,ORC6,PPP2R1A,CENPT,DYNC1H1,RMI2,RFC2,RPA1,RPA2,DYNLL2,RBX1,CCNE1,PSMC2,UBE2N,MCM4,RAD1,CENPO,RAD9B,RAD9A,SPC25"
"REACTOME_PATHWAY","G1/S Transition","21","209","120","10908","8.95e-14","2.14e-11","9.13","8.56e-11","1.83e-11","8.29e-15","R-HSA-69206~G1/S Transition","RRM2,PCNA,MCM7,PSMD13,RPA1,CUL1,RPA2,LIN9,ORC5,ORC4,PPP2CB,POLA2,ORC6,TFDP1,CCNE1,PPP2R1A,POLE2,PSMC2,RPA4,MCM4,AKT1"
"REACTOME_PATHWAY","S Phase","22","209","148","10908","5.58e-13","1.07e-10","7.76","5.34e-10","9.15e-11","6.26e-14","R-HSA-69242~S Phase","FEN1,PCNA,MCM7,RFC1,PSMD13,RFC2,RPA1,CUL1,RPA2,ESCO2,LIN9,RBX1,ORC5,ORC4,POLA2,ORC6,TFDP1,CCNE1,POLE2,PSMC2,MCM4,AKT1"
"REACTOME_PATHWAY","DNA Repair","30","209","312","10908","1.17e-12","1.86e-10","5.02","1.12e-9","1.59e-10","2.13e-13","R-HSA-73894~DNA Repair","FEN1,MRE11,PCNA,PRKDC,UBE2L6,ACTB,BABAM2,BRIP1,PPP4R2,SUMO2,POLR2F,ASCC2,ACD,RMI2,RFC1,RFC2,XRCC5,XRCC3,RPA1,RPA2,RBX1,MAD2L2,MSH3,POLE2,UBE2N,ERCC8,POT1,RAD1,RAD9B,RAD9A"
"REACTOME_PATHWAY","Mitotic G1 phase and G1/S transition","21","209","138","10908","1.37e-12","1.87e-10","7.94","1.31e-9","1.60e-10","1.49e-13","R-HSA-453279~Mitotic G1 phase and G1/S transition","RRM2,PCNA,MCM7,PSMD13,RPA1,CUL1,RPA2,LIN9,ORC5,ORC4,PPP2CB,POLA2,ORC6,TFDP1,CCNE1,PPP2R1A,POLE2,PSMC2,RPA4,MCM4,AKT1"
"GOTERM_BP_DIRECT","DNA replication","18","248","125","16251","6.59e-12","9.91e-9","9.44","9.92e-9","9.77e-9","6.10e-13","GO:0006260~DNA replication","FEN1,RMI2,PCNA,MCM7,RFC1,RFC2,RPA1,RPA2,CHTF18,ORC5,ORC4,POLA2,ORC6,POLE2,GRWD1,RPA4,MCM4,ASCC2"
"REACTOME_PATHWAY","Synthesis of DNA","18","209","106","10908","1.33e-11","1.59e-9","8.86","1.27e-8","1.36e-9","1.27e-12","R-HSA-69239~Synthesis of DNA","FEN1,PCNA,MCM7,RFC1,PSMD13,RFC2,RPA1,CUL1,RPA2,RBX1,ORC5,ORC4,POLA2,ORC6,CCNE1,POLE2,PSMC2,MCM4"
"REACTOME_PATHWAY","DNA Double-Strand Break Repair","20","209","157","10908","1.29e-10","1.37e-8","6.65","1.23e-7","1.17e-8","1.72e-11","R-HSA-5693532~DNA Double-Strand Break Repair","FEN1,RMI2,MRE11,PCNA,RFC1,XRCC5,PRKDC,RFC2,XRCC3,RPA1,RPA2,BABAM2,BRIP1,PPP4R2,POLE2,SUMO2,UBE2N,RAD1,RAD9B,RAD9A"
