"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Cell Cycle Checkpoints","50","210","274","10908","2.76e-34","2.77e-31","9.48","2.76e-31","1.81e-31","2.44e-35","R-HSA-69620~Cell Cycle Checkpoints","YWHAE,ZWILCH,UBE2D1,PSMD8,PSMD6,PSMD7,XPO1,PPP2R1B,KAT5,EXO1,CDC26,PSMD3,NUF2,PSMD1,RFC5,RFC3,DYNLL1,CKAP5,PSMA3,DYNC1LI2,PSMA4,PSMA1,PSMA2,UBE2V2,UBA52,PAFAH1B1,ANAPC2,PSMD12,SEH1L,PSMD11,PSMD14,MIS12,CENPA,PSMB6,PSMB7,PSMB4,WRN,PSMB5,PSMB3,ORC2,UBC,PSMB1,NUP43,BUB3,RPS27A,CDC6,PSMC5,PSMC1,RAD17,MAD2L1"
"REACTOME_PATHWAY","Cell Cycle","69","210","652","10908","8.63e-33","4.32e-30","5.50","8.63e-30","2.83e-30","1.43e-33","R-HSA-1640170~Cell Cycle","YWHAE,ZWILCH,UBE2D1,SMC2,PSMD8,PPP1CB,PSMD6,PSMD7,XPO1,PPP2R1B,KAT5,EXO1,CDC26,RUVBL2,RUVBL1,PSMD3,NUF2,PSMD1,NUP214,RFC5,RFC3,IST1,HAUS3,DYNLL1,CKAP5,PSMA3,DYNC1LI2,PSMA4,PSMA1,PSMA2,NME7,UBE2V2,UBA52,PAFAH1B1,ANAPC2,RTEL1,PSMD12,SEH1L,SET,PSMD11,DCTN2,PSMD14,PRIM1,MIS12,NCAPG,TYMS,CENPA,PSMB6,PSMB7,PSMB4,WRN,PSMB5,PSMB3,ORC2,UBC,POLD2,PSMB1,NUP43,BUB3,RPS27A,NEK7,CDC6,PSMC5,TEN1,PSMC1,RAD17,NCAPD3,RAN,MAD2L1"
"REACTOME_PATHWAY","Cdc20:Phospho-APC/C mediated degradation of Cyclin A","28","210","59","10908","2.12e-31","5.78e-29","24.65","2.12e-28","3.78e-29","4.76e-33","R-HSA-174184~Cdc20:Phospho-APC/C mediated degradation of Cyclin A","PSMD12,PSMD11,PSMD14,UBE2D1,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,CDC26,PSMD3,UBC,PSMB1,PSMD1,BUB3,RPS27A,PSMC5,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,UBA52,MAD2L1,ANAPC2"
"REACTOME_PATHWAY","Separation of Sister Chromatids","40","210","173","10908","2.72e-31","5.78e-29","12.01","2.72e-28","3.78e-29","1.79e-32","R-HSA-2467813~Separation of Sister Chromatids","PSMD12,SEH1L,PSMD11,PSMD14,ZWILCH,MIS12,UBE2D1,CENPA,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,XPO1,PSMB5,PPP2R1B,PSMB3,CDC26,PSMD3,UBC,NUF2,PSMB1,PSMD1,NUP43,BUB3,RPS27A,DYNLL1,CKAP5,PSMC5,PSMA3,DYNC1LI2,PSMA4,PSMA1,PSMA2,PSMC1,UBA52,MAD2L1,PAFAH1B1,ANAPC2"
"REACTOME_PATHWAY","Regulation of mRNA stability by proteins that bind AU-rich elements","30","210","74","10908","3.09e-31","5.78e-29","21.06","3.09e-28","3.78e-29","9.09e-33","R-HSA-450531~Regulation of mRNA stability by proteins that bind AU-rich elements","PSMD12,SET,PSMD11,PSMD14,HSPB1,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,XPO1,PSMB5,PSMB3,KHSRP,PSMD3,UBC,PSMB1,PSMD1,RPS27A,NUP214,PSMC5,PSMA3,PSMA4,XRN1,PSMA1,PSMA2,PSMC1,UBA52,EIF4G1"
"REACTOME_PATHWAY","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","28","210","60","10908","3.79e-31","5.78e-29","24.24","3.79e-28","3.78e-29","8.77e-33","R-HSA-179419~APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint","PSMD12,PSMD11,PSMD14,UBE2D1,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,CDC26,PSMD3,UBC,PSMB1,PSMD1,BUB3,RPS27A,PSMC5,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,UBA52,MAD2L1,ANAPC2"
"REACTOME_PATHWAY","AUF1 (hnRNP D0) binds and destabilizes mRNA","25","210","42","10908","4.04e-31","5.78e-29","30.92","4.04e-28","3.78e-29","5.72e-33","R-HSA-450408~AUF1 (hnRNP D0) binds and destabilizes mRNA","PSMD12,PSMD11,PSMD14,HSPB1,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,PSMD3,UBC,PSMB1,PSMD1,RPS27A,PSMC5,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,UBA52,EIF4G1"
"REACTOME_PATHWAY","APC/C:Cdc20 mediated degradation of mitotic proteins","28","210","62","10908","1.17e-30","1.46e-28","23.46","1.17e-27","9.54e-29","2.86e-32","R-HSA-176409~APC/C:Cdc20 mediated degradation of mitotic proteins","PSMD12,PSMD11,PSMD14,UBE2D1,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,CDC26,PSMD3,UBC,PSMB1,PSMD1,BUB3,RPS27A,PSMC5,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,UBA52,MAD2L1,ANAPC2"
"REACTOME_PATHWAY","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","28","210","63","10908","2.00e-30","2.23e-28","23.09","2.00e-27","1.46e-28","5.06e-32","R-HSA-176814~Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","PSMD12,PSMD11,PSMD14,UBE2D1,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,CDC26,PSMD3,UBC,PSMB1,PSMD1,BUB3,RPS27A,PSMC5,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,UBA52,MAD2L1,ANAPC2"
"REACTOME_PATHWAY","Cell Cycle, Mitotic","60","210","519","10908","3.22e-30","3.23e-28","6.00","3.22e-27","2.11e-28","4.85e-31","R-HSA-69278~Cell Cycle, Mitotic","YWHAE,ZWILCH,UBE2D1,SMC2,PSMD8,PPP1CB,PSMD6,PSMD7,XPO1,PPP2R1B,CDC26,PSMD3,NUF2,PSMD1,NUP214,RFC5,RFC3,IST1,HAUS3,DYNLL1,CKAP5,PSMA3,DYNC1LI2,PSMA4,PSMA1,PSMA2,NME7,UBA52,PAFAH1B1,ANAPC2,PSMD12,SEH1L,SET,PSMD11,DCTN2,PSMD14,PRIM1,MIS12,NCAPG,TYMS,CENPA,PSMB6,PSMB7,PSMB4,PSMB5,PSMB3,ORC2,UBC,POLD2,PSMB1,NUP43,BUB3,RPS27A,NEK7,CDC6,PSMC5,PSMC1,NCAPD3,RAN,MAD2L1"
