"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","cell division","20","243","380","16251","4.37e-6","6.81e-3","3.52","6.79e-3","6.81e-3","1.18e-6","GO:0051301~cell division","BECN1,DYNC1H1,ERCC6L,RALA,ZWILCH,NSMCE2,MIS12,LIG3,SKA1,SEPTIN7,HAUS1,SKA2,NEDD1,BABAM2,TPX2,HAUS8,EPB41L2,PIK3C3,KIF2C,CCDC66"
"REACTOME_PATHWAY","DNA Repair","18","184","312","10908","1.92e-5","7.29e-3","3.42","1.92e-2","7.10e-3","5.29e-6","R-HSA-73894~DNA Repair","H2AZ1,DCLRE1B,RFC4,MRE11,RIF1,ELL,MGMT,FAAP24,LIG3,UBE2L6,BABAM2,APEX1,SUMO2,TCEA1,ASCC2,RAD1,RAD9B,NHEJ1"
"REACTOME_PATHWAY","Macroautophagy","12","184","139","10908","2.13e-5","7.29e-3","5.12","2.13e-2","7.10e-3","3.83e-6","R-HSA-1632852~Macroautophagy","DYNC1H1,BECN1,EPAS1,CHMP4C,VDAC3,TOMM7,TSC2,TSC1,WIPI1,PIK3C3,PGAM5,TOMM20"
"REACTOME_PATHWAY","Immune System","60","184","2114","10908","2.15e-5","7.29e-3","1.68","2.16e-2","7.10e-3","1.25e-5","R-HSA-168256~Immune System","EIF4A2,ARF3,EIF4A1,CDKN1B,MRE11,WIPF1,UBE2L6,LMNB1,EEA1,FNTA,STBD1,MADCAM1,SKP2,YWHAG,PDIA3,ATP6V1G2,FGG,DNM2,COL2A1,CDC34,RAPGEF1,PIK3C3,KIF2C,LCP1,CD46,CD274,BECN1,RALA,RPN2,KMT2A,EPAS1,CUL2,CUL1,FAAP24,DERL2,KLRK1,RICTOR,STAT6,CD58,ATP6V0E2,SH2B1,UBE2F,H2AZ1,DYNC1H1,UBE2H,IL37,CD160,HSPA6,FN1,UBE2G1,ERLIN2,PRKRA,CAPZA1,TOLLIP,IL2RA,CD27,STUB1,IL18R1,RIGI,HSPA1A"
"REACTOME_PATHWAY","Autophagy","12","184","154","10908","5.50e-5","1.16e-2","4.62","5.43e-2","1.13e-2","1.10e-5","R-HSA-9612973~Autophagy","DYNC1H1,BECN1,EPAS1,CHMP4C,VDAC3,TOMM7,TSC2,TSC1,WIPI1,PIK3C3,PGAM5,TOMM20"
"REACTOME_PATHWAY","Cell Cycle Checkpoints","16","184","274","10908","5.70e-5","1.16e-2","3.46","5.61e-2","1.13e-2","1.55e-5","R-HSA-69620~Cell Cycle Checkpoints","DYNC1H1,ERCC6L,RFC4,CDKN1B,MRE11,ZWILCH,MIS12,CUL1,SKA1,SKA2,BABAM2,RAD1,KIF2C,CENPO,RAD9B,YWHAG"
"GOTERM_BP_DIRECT","mitotic metaphase chromosome alignment","7","243","48","16251","7.45e-5","5.80e-2","9.75","1.10e-1","5.80e-2","6.69e-6","GO:0007080~mitotic metaphase chromosome alignment","BECN1,CHMP4C,KIF2C,CCDC66,PIBF1,SKA1,SKA2"
"REACTOME_PATHWAY","Cell Cycle","26","184","652","10908","8.79e-5","1.49e-2","2.36","8.52e-2","1.45e-2","3.56e-5","R-HSA-1640170~Cell Cycle","ERCC6L,CDKN1B,MRE11,ZWILCH,MIS12,CUL1,SKA1,SKA2,LMNB1,BABAM2,HAUS8,SKP2,YWHAG,H2AZ1,DYNC1H1,RFC4,HAUS1,SMC1B,NEDD1,TPX2,CNEP1R1,CHMP4C,RAD1,KIF2C,CENPO,RAD9B"
"REACTOME_PATHWAY","Adaptive Immune System","31","184","874","10908","1.24e-4","1.80e-2","2.10","1.18e-1","1.75e-2","5.66e-5","R-HSA-1280218~Adaptive Immune System","ARF3,CD274,BECN1,KMT2A,RPN2,EPAS1,CUL2,CUL1,DERL2,UBE2L6,KLRK1,RICTOR,MADCAM1,SKP2,YWHAG,UBE2F,H2AZ1,PDIA3,DYNC1H1,UBE2H,CD160,FGG,UBE2G1,ERLIN2,DNM2,COL2A1,CDC34,CAPZA1,STUB1,PIK3C3,KIF2C"
"REACTOME_PATHWAY","Cell Cycle, Mitotic","21","184","519","10908","4.39e-4","4.69e-2","2.40","3.59e-1","4.57e-2","1.75e-4","R-HSA-69278~Cell Cycle, Mitotic","H2AZ1,DYNC1H1,ERCC6L,RFC4,CDKN1B,ZWILCH,MIS12,CUL1,SKA1,LMNB1,HAUS1,SKA2,NEDD1,TPX2,HAUS8,CNEP1R1,CHMP4C,KIF2C,CENPO,SKP2,YWHAG"
"REACTOME_PATHWAY","Mitotic Prometaphase","12","184","196","10908","4.61e-4","4.69e-2","3.63","3.74e-1","4.57e-2","1.19e-4","R-HSA-68877~Mitotic Prometaphase","NEDD1,DYNC1H1,ERCC6L,HAUS8,ZWILCH,MIS12,KIF2C,CENPO,SKA1,YWHAG,HAUS1,SKA2"
"REACTOME_PATHWAY","Signaling by Rho GTPases, Miro GTPases and RHOBTB3","25","184","685","10908","4.71e-4","4.69e-2","2.16","3.80e-1","4.57e-2","2.08e-4","R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3","ERCC6L,CDKN1B,ZWILCH,WIPF1,MIS12,MSI2,SKA1,SKA2,LMNB1,RHOT1,STBD1,CCT7,YWHAG,H2AZ1,DYNC1H1,RHOH,ARFGAP2,KTN1,FAM135A,CTTN,RAPGEF1,PIK3C3,PKP4,KIF2C,CENPO"
"REACTOME_PATHWAY","RHO GTPase Effectors","15","184","299","10908","5.08e-4","4.69e-2","2.97","4.03e-1","4.57e-2","1.61e-4","R-HSA-195258~RHO GTPase Effectors","H2AZ1,DYNC1H1,ERCC6L,CDKN1B,WIPF1,ZWILCH,MIS12,SKA1,SKA2,KTN1,CTTN,PIK3C3,KIF2C,CENPO,YWHAG"
"REACTOME_PATHWAY","Signaling by Rho GTPases","24","184","669","10908","8.06e-4","6.80e-2","2.13","5.59e-1","6.63e-2","3.62e-4","R-HSA-194315~Signaling by Rho GTPases","H2AZ1,DYNC1H1,ERCC6L,CDKN1B,WIPF1,ZWILCH,MIS12,RHOH,MSI2,SKA1,LMNB1,ARFGAP2,SKA2,KTN1,FAM135A,CTTN,STBD1,RAPGEF1,PIK3C3,PKP4,KIF2C,CENPO,CCT7,YWHAG"
"REACTOME_PATHWAY","Amplification of signal from the kinetochores","8","184","93","10908","9.38e-4","6.80e-2","5.10","6.14e-1","6.63e-2","1.69e-4","R-HSA-141424~Amplification of signal from the kinetochores","DYNC1H1,ERCC6L,ZWILCH,MIS12,KIF2C,CENPO,SKA1,SKA2"
"REACTOME_PATHWAY","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","8","184","93","10908","9.38e-4","6.80e-2","5.10","6.14e-1","6.63e-2","1.69e-4","R-HSA-141444~Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","DYNC1H1,ERCC6L,ZWILCH,MIS12,KIF2C,CENPO,SKA1,SKA2"
"GOTERM_BP_DIRECT","attachment of mitotic spindle microtubules to kinetochore","4","243","15","16251","1.30e-3","5.50e-1","17.83","8.68e-1","5.50e-1","5.85e-5","GO:0051315~attachment of mitotic spindle microtubules to kinetochore","MIS12,KIF2C,SKA1,SKA2"
"REACTOME_PATHWAY","M Phase","16","184","372","10908","1.49e-3","1.01e-1","2.55","7.79e-1","9.81e-2","5.52e-4","R-HSA-68886~M Phase","H2AZ1,DYNC1H1,ERCC6L,ZWILCH,MIS12,SKA1,LMNB1,HAUS1,SKA2,NEDD1,HAUS8,CNEP1R1,CHMP4C,KIF2C,CENPO,YWHAG"
"GOTERM_BP_DIRECT","autophagy","10","243","184","16251","1.78e-3","5.50e-1","3.63","9.37e-1","5.50e-1","4.60e-4","GO:0006914~autophagy","BECN1,MAP1S,TOLLIP,CHMP4C,FN1,WIPI1,PIK3C3,NRBF2,DNM2,ELAPOR1"
"REACTOME_PATHWAY","Signal Transduction","61","184","2533","10908","1.86e-3","1.18e-1","1.43","8.48e-1","1.15e-1","1.26e-3","R-HSA-162582~Signal Transduction","ERCC6L,CDKN1B,ZWILCH,WIPF1,PEBP1,MSI2,LMNB1,FNTA,STBD1,SUFU,MAF1,YWHAG,ATP6V1G2,NCBP1,NCBP2,FGG,RHOH,TSC2,TSC1,RPGRIP1L,TGFBR2,ARFGAP2,DNM2,COL2A1,CTTN,RAPGEF1,PIK3C3,PKP4,KIF2C,CSNK1G2,CD274,RALA,TPH1,EPAS1,MIS12,CUL1,DERL2,LTBP2,EGFR,SKA1,SKA2,RHOT1,ERBB4,PRKAR2A,RICTOR,SHOC2,STAT6,ATP6V0E2,CCT7,SH2B1,H2AZ1,DYNC1H1,BDNF,FN1,SEPTIN7,KTN1,FAM135A,IL2RA,MKS1,STUB1,CENPO"
"GOTERM_BP_DIRECT","protein folding","10","243","186","16251","1.91e-3","5.50e-1","3.60","9.50e-1","5.50e-1","5.01e-4","GO:0006457~protein folding","PDIA3,CCT8L2,DNAJC7,WIPF1,NGLY1,TSC1,PFDN2,CCT7,HSPBP1,CCT6B"
"GOTERM_BP_DIRECT","DNA repair","14","243","346","16251","2.12e-3","5.50e-1","2.71","9.63e-1","5.50e-1","7.40e-4","GO:0006281~DNA repair","DCLRE1B,ERCC6L,BTG2,RFC4,MRE11,RIF1,MGMT,MCM9,LIG3,PAGR1,APEX1,STUB1,RAD1,RAD9B"
"REACTOME_PATHWAY","Dengue Virus Genome Translation and Replication","7","184","81","10908","2.35e-3","1.23e-1","5.12","9.08e-1","1.20e-1","4.21e-4","R-HSA-9918487~Dengue Virus Genome Translation and Replication","EIF4A2,PDIA3,EIF4A1,RPN2,HNRNPD,HDLBP,HSPA1A"
"REACTOME_PATHWAY","Mitotic Spindle Checkpoint","8","184","109","10908","2.36e-3","1.23e-1","4.35","9.09e-1","1.20e-1","5.01e-4","R-HSA-69618~Mitotic Spindle Checkpoint","DYNC1H1,ERCC6L,ZWILCH,MIS12,KIF2C,CENPO,SKA1,SKA2"
"REACTOME_PATHWAY","Cytokine Signaling in Immune system","25","184","771","10908","2.39e-3","1.23e-1","1.92","9.12e-1","1.20e-1","1.19e-3","R-HSA-1280215~Cytokine Signaling in Immune system","EIF4A2,ARF3,BECN1,EIF4A1,RALA,CDKN1B,CUL1,FAAP24,UBE2L6,LMNB1,FNTA,STAT6,SH2B1,IL37,FN1,PRKRA,TOLLIP,IL2RA,CAPZA1,RAPGEF1,CD27,LCP1,IL18R1,RIGI,HSPA1A"
"REACTOME_PATHWAY","Transcriptional Regulation by TP53","15","184","352","10908","2.42e-3","1.23e-1","2.53","9.14e-1","1.20e-1","9.05e-4","R-HSA-3700989~Transcriptional Regulation by TP53","BTG2,RFC4,CDKN1B,MRE11,ELL,TXNRD1,TSC2,TSC1,TPX2,TCEA1,RICTOR,RAD1,RAD9B,BID,YWHAG"
"REACTOME_PATHWAY","EML4 and NUDC in mitotic spindle formation","8","184","113","10908","2.89e-3","1.40e-1","4.20","9.47e-1","1.36e-1","6.38e-4","R-HSA-9648025~EML4 and NUDC in mitotic spindle formation","DYNC1H1,ERCC6L,ZWILCH,MIS12,KIF2C,CENPO,SKA1,SKA2"
