Category,Term,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact,Full Term,User Ids,Theme,minus_log10_Benjamini
GOTERM_BP_DIRECT,cell division,20,243,380,16251,4.37e-06,0.00681,3.52,0.00679,0.00681,1.18e-06,GO:0051301~cell division,"BECN1,DYNC1H1,ERCC6L,RALA,ZWILCH,NSMCE2,MIS12,LIG3,SKA1,SEPTIN7,HAUS1,SKA2,NEDD1,BABAM2,TPX2,HAUS8,EPB41L2,PIK3C3,KIF2C,CCDC66",,2.166852888087215
REACTOME_PATHWAY,DNA Repair,18,184,312,10908,1.92e-05,0.00729,3.42,0.0192,0.0071,5.29e-06,R-HSA-73894~DNA Repair,"H2AZ1,DCLRE1B,RFC4,MRE11,RIF1,ELL,MGMT,FAAP24,LIG3,UBE2L6,BABAM2,APEX1,SUMO2,TCEA1,ASCC2,RAD1,RAD9B,NHEJ1",DNA replication & repair,2.1372724716820253
REACTOME_PATHWAY,Macroautophagy,12,184,139,10908,2.13e-05,0.00729,5.12,0.0213,0.0071,3.83e-06,R-HSA-1632852~Macroautophagy,"DYNC1H1,BECN1,EPAS1,CHMP4C,VDAC3,TOMM7,TSC2,TSC1,WIPI1,PIK3C3,PGAM5,TOMM20",Autophagy,2.1372724716820253
REACTOME_PATHWAY,Immune System,60,184,2114,10908,2.15e-05,0.00729,1.68,0.0216,0.0071,1.25e-05,R-HSA-168256~Immune System,"EIF4A2,ARF3,EIF4A1,CDKN1B,MRE11,WIPF1,UBE2L6,LMNB1,EEA1,FNTA,STBD1,MADCAM1,SKP2,YWHAG,PDIA3,ATP6V1G2,FGG,DNM2,COL2A1,CDC34,RAPGEF1,PIK3C3,KIF2C,LCP1,CD46,CD274,BECN1,RALA,RPN2,KMT2A,EPAS1,CUL2,CUL1,FAAP24,DERL2,KLRK1,RICTOR,STAT6,CD58,ATP6V0E2,SH2B1,UBE2F,H2AZ1,DYNC1H1,UBE2H,IL37,CD160,HSPA6,FN1,UBE2G1,ERLIN2,PRKRA,CAPZA1,TOLLIP,IL2RA,CD27,STUB1,IL18R1,RIGI,HSPA1A",Immune response & host–pathogen interactions,2.1372724716820253
REACTOME_PATHWAY,Autophagy,12,184,154,10908,5.5e-05,0.0116,4.62,0.0543,0.0113,1.1e-05,R-HSA-9612973~Autophagy,"DYNC1H1,BECN1,EPAS1,CHMP4C,VDAC3,TOMM7,TSC2,TSC1,WIPI1,PIK3C3,PGAM5,TOMM20",Autophagy,1.9355420107730816
REACTOME_PATHWAY,Cell Cycle Checkpoints,16,184,274,10908,5.7e-05,0.0116,3.46,0.0561,0.0113,1.55e-05,R-HSA-69620~Cell Cycle Checkpoints,"DYNC1H1,ERCC6L,RFC4,CDKN1B,MRE11,ZWILCH,MIS12,CUL1,SKA1,SKA2,BABAM2,RAD1,KIF2C,CENPO,RAD9B,YWHAG",Cell cycle & mitosis,1.9355420107730816
GOTERM_BP_DIRECT,mitotic metaphase chromosome alignment,7,243,48,16251,7.45e-05,0.058,9.75,0.11,0.058,6.69e-06,GO:0007080~mitotic metaphase chromosome alignment,"BECN1,CHMP4C,KIF2C,CCDC66,PIBF1,SKA1,SKA2",,1.2365720064370627
REACTOME_PATHWAY,Cell Cycle,26,184,652,10908,8.79e-05,0.0149,2.36,0.0852,0.0145,3.56e-05,R-HSA-1640170~Cell Cycle,"ERCC6L,CDKN1B,MRE11,ZWILCH,MIS12,CUL1,SKA1,SKA2,LMNB1,BABAM2,HAUS8,SKP2,YWHAG,H2AZ1,DYNC1H1,RFC4,HAUS1,SMC1B,NEDD1,TPX2,CNEP1R1,CHMP4C,RAD1,KIF2C,CENPO,RAD9B",Cell cycle & mitosis,1.826813731587726
REACTOME_PATHWAY,Adaptive Immune System,31,184,874,10908,0.000124,0.018,2.1,0.118,0.0175,5.66e-05,R-HSA-1280218~Adaptive Immune System,"ARF3,CD274,BECN1,KMT2A,RPN2,EPAS1,CUL2,CUL1,DERL2,UBE2L6,KLRK1,RICTOR,MADCAM1,SKP2,YWHAG,UBE2F,H2AZ1,PDIA3,DYNC1H1,UBE2H,CD160,FGG,UBE2G1,ERLIN2,DNM2,COL2A1,CDC34,CAPZA1,STUB1,PIK3C3,KIF2C",Immune response & host–pathogen interactions,1.744727494896694
REACTOME_PATHWAY,"Cell Cycle, Mitotic",21,184,519,10908,0.000439,0.0469,2.4,0.359,0.0457,0.000175,"R-HSA-69278~Cell Cycle, Mitotic","H2AZ1,DYNC1H1,ERCC6L,RFC4,CDKN1B,ZWILCH,MIS12,CUL1,SKA1,LMNB1,HAUS1,SKA2,NEDD1,TPX2,HAUS8,CNEP1R1,CHMP4C,KIF2C,CENPO,SKP2,YWHAG",Cell cycle & mitosis,1.3288271572849168
REACTOME_PATHWAY,Mitotic Prometaphase,12,184,196,10908,0.000461,0.0469,3.63,0.374,0.0457,0.000119,R-HSA-68877~Mitotic Prometaphase,"NEDD1,DYNC1H1,ERCC6L,HAUS8,ZWILCH,MIS12,KIF2C,CENPO,SKA1,YWHAG,HAUS1,SKA2",Cell cycle & mitosis,1.3288271572849168
REACTOME_PATHWAY,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",25,184,685,10908,0.000471,0.0469,2.16,0.38,0.0457,0.000208,"R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3","ERCC6L,CDKN1B,ZWILCH,WIPF1,MIS12,MSI2,SKA1,SKA2,LMNB1,RHOT1,STBD1,CCT7,YWHAG,H2AZ1,DYNC1H1,RHOH,ARFGAP2,KTN1,FAM135A,CTTN,RAPGEF1,PIK3C3,PKP4,KIF2C,CENPO",Cytoskeleton & Rho GTPase signaling,1.3288271572849168
REACTOME_PATHWAY,RHO GTPase Effectors,15,184,299,10908,0.000508,0.0469,2.97,0.403,0.0457,0.000161,R-HSA-195258~RHO GTPase Effectors,"H2AZ1,DYNC1H1,ERCC6L,CDKN1B,WIPF1,ZWILCH,MIS12,SKA1,SKA2,KTN1,CTTN,PIK3C3,KIF2C,CENPO,YWHAG",Cytoskeleton & Rho GTPase signaling,1.3288271572849168
REACTOME_PATHWAY,Signaling by Rho GTPases,24,184,669,10908,0.000806,0.068,2.13,0.559,0.0663,0.000362,R-HSA-194315~Signaling by Rho GTPases,"H2AZ1,DYNC1H1,ERCC6L,CDKN1B,WIPF1,ZWILCH,MIS12,RHOH,MSI2,SKA1,LMNB1,ARFGAP2,SKA2,KTN1,FAM135A,CTTN,STBD1,RAPGEF1,PIK3C3,PKP4,KIF2C,CENPO,CCT7,YWHAG",Cytoskeleton & Rho GTPase signaling,1.1674910872937636
REACTOME_PATHWAY,Amplification of signal from the kinetochores,8,184,93,10908,0.000938,0.068,5.1,0.614,0.0663,0.000169,R-HSA-141424~Amplification of signal from the kinetochores,"DYNC1H1,ERCC6L,ZWILCH,MIS12,KIF2C,CENPO,SKA1,SKA2",Cell cycle & mitosis,1.1674910872937636
REACTOME_PATHWAY,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,8,184,93,10908,0.000938,0.068,5.1,0.614,0.0663,0.000169,R-HSA-141444~Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,"DYNC1H1,ERCC6L,ZWILCH,MIS12,KIF2C,CENPO,SKA1,SKA2",Cell cycle & mitosis,1.1674910872937636
GOTERM_BP_DIRECT,attachment of mitotic spindle microtubules to kinetochore,4,243,15,16251,0.0013,0.55,17.83,0.868,0.55,5.85e-05,GO:0051315~attachment of mitotic spindle microtubules to kinetochore,"MIS12,KIF2C,SKA1,SKA2",,0.2596373105057561
REACTOME_PATHWAY,M Phase,16,184,372,10908,0.00149,0.101,2.55,0.779,0.0981,0.000552,R-HSA-68886~M Phase,"H2AZ1,DYNC1H1,ERCC6L,ZWILCH,MIS12,SKA1,LMNB1,HAUS1,SKA2,NEDD1,HAUS8,CNEP1R1,CHMP4C,KIF2C,CENPO,YWHAG",Cell cycle & mitosis,0.9956786262173574
GOTERM_BP_DIRECT,autophagy,10,243,184,16251,0.00178,0.55,3.63,0.937,0.55,0.00046,GO:0006914~autophagy,"BECN1,MAP1S,TOLLIP,CHMP4C,FN1,WIPI1,PIK3C3,NRBF2,DNM2,ELAPOR1",,0.2596373105057561
