"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Cell Cycle","86","213","652","10908","2.62e-49","2.47e-46","6.75","2.46e-46","1.67e-46","3.44e-50","R-HSA-1640170~Cell Cycle","TOP2A,FEN1,DSCC1,UBE2D1,CHTF18,CKS1B,PSMD8,PPP1CC,PSMD6,PSMD7,PPP2R1B,KAT5,EXO1,MYC,CDC26,RUVBL1,PSMD3,NUF2,PSMD1,RFC5,RMI2,RFC3,RFC2,HAUS4,PPP2R5B,TEX12,HUS1,ESCO2,DYNLL1,CKAP5,RBX1,PSMA6,MZT2A,PSMA3,DYNC1LI2,PSMA4,PSMA1,PSMA2,NME7,DMC1,POT1,MCM4,MCM6,UBA52,MCM2,RTEL1,PSMD12,SEH1L,SET,PSMD11,PCNA,PSMD14,PSMD13,PRIM1,LIN9,CENPA,ANAPC10,AURKA,PSMB6,PSMB7,PSMB4,WRN,PSMB5,PSMB3,ORC2,POLD2,PSMB1,NUP43,BUB3,RPS27A,STN1,RPA2,CDC6,PSMC5,POLA2,TEN1,POLE2,PSMC1,PSMC2,RPA4,RAD17,NCAPD3,CENPQ,RAN,TUBA8,MAD2L1"
"REACTOME_PATHWAY","Synthesis of DNA","44","213","106","10908","1.02e-46","4.80e-44","21.26","9.60e-44","3.25e-44","2.91e-48","R-HSA-69239~Synthesis of DNA","PSMD12,FEN1,PSMD11,PCNA,PSMD14,PSMD13,PRIM1,UBE2D1,ANAPC10,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,CDC26,ORC2,PSMD3,POLD2,PSMB1,PSMD1,RPS27A,RFC5,RFC3,RFC2,RPA2,CDC6,RBX1,PSMA6,PSMC5,POLA2,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,POLE2,PSMC2,MCM4,MCM6,UBA52,MCM2"
"REACTOME_PATHWAY","S Phase","48","213","148","10908","3.60e-45","1.13e-42","16.61","3.38e-42","7.64e-43","1.51e-46","R-HSA-69242~S Phase","PSMD12,FEN1,PSMD11,PCNA,PSMD14,PSMD13,PRIM1,UBE2D1,LIN9,ANAPC10,CKS1B,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,MYC,CDC26,ORC2,PSMD3,POLD2,PSMB1,PSMD1,RPS27A,RFC5,RFC3,RFC2,RPA2,ESCO2,CDC6,RBX1,PSMA6,PSMC5,POLA2,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,POLE2,PSMC2,MCM4,MCM6,UBA52,MCM2"
"REACTOME_PATHWAY","Cell Cycle Checkpoints","57","213","274","10908","2.52e-42","5.94e-40","10.65","2.37e-39","4.02e-40","1.92e-43","R-HSA-69620~Cell Cycle Checkpoints","UBE2D1,PSMD8,PPP1CC,PSMD6,PSMD7,PPP2R1B,KAT5,EXO1,CDC26,PSMD3,NUF2,PSMD1,RFC5,RMI2,RFC3,RFC2,PPP2R5B,HUS1,DYNLL1,CKAP5,RBX1,PSMA6,PSMA3,DYNC1LI2,PSMA4,PSMA1,PSMA2,MCM4,MCM6,UBA52,MCM2,PSMD12,SEH1L,PSMD11,PSMD14,PSMD13,CENPA,ANAPC10,PSMB6,PSMB7,PSMB4,WRN,PSMB5,PSMB3,ORC2,PSMB1,NUP43,BUB3,RPS27A,RPA2,CDC6,PSMC5,PSMC1,PSMC2,RAD17,CENPQ,MAD2L1"
"REACTOME_PATHWAY","Cell Cycle, Mitotic","71","213","519","10908","8.66e-41","1.63e-38","7.01","8.15e-38","1.10e-38","1.09e-41","R-HSA-69278~Cell Cycle, Mitotic","TOP2A,FEN1,UBE2D1,CKS1B,PSMD8,PPP1CC,PSMD6,PSMD7,PPP2R1B,MYC,CDC26,PSMD3,NUF2,PSMD1,RFC5,RFC3,RFC2,HAUS4,PPP2R5B,ESCO2,DYNLL1,CKAP5,RBX1,PSMA6,MZT2A,PSMA3,DYNC1LI2,PSMA4,PSMA1,PSMA2,NME7,MCM4,MCM6,UBA52,MCM2,PSMD12,SEH1L,SET,PSMD11,PCNA,PSMD14,PSMD13,PRIM1,LIN9,CENPA,ANAPC10,AURKA,PSMB6,PSMB7,PSMB4,PSMB5,PSMB3,ORC2,POLD2,PSMB1,NUP43,BUB3,RPS27A,RPA2,CDC6,PSMC5,POLA2,POLE2,PSMC1,PSMC2,RPA4,NCAPD3,CENPQ,RAN,TUBA8,MAD2L1"
"REACTOME_PATHWAY","DNA Replication","45","213","160","10908","3.79e-39","5.95e-37","14.40","3.57e-36","4.02e-37","1.95e-40","R-HSA-69306~DNA Replication","PSMD12,FEN1,PSMD11,PCNA,PSMD14,PSMD13,PRIM1,UBE2D1,ANAPC10,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,CDC26,ORC2,PSMD3,POLD2,PSMB1,PSMD1,RPS27A,RFC5,RFC3,RFC2,RPA2,CDC6,RBX1,PSMA6,PSMC5,POLA2,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,POLE2,PSMC2,RPA4,MCM4,MCM6,UBA52,MCM2"
"REACTOME_PATHWAY","G1/S Transition","40","213","120","10908","7.10e-38","9.56e-36","17.07","6.68e-35","6.46e-36","2.86e-39","R-HSA-69206~G1/S Transition","PSMD12,PSMD11,PCNA,PSMD14,PSMD13,PRIM1,LIN9,CKS1B,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PPP2R1B,PSMB3,MYC,ORC2,PSMD3,PSMB1,PSMD1,RPS27A,RPA2,CDC6,PSMA6,PSMC5,POLA2,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,POLE2,PSMC2,RPA4,MCM4,MCM6,UBA52,MCM2"
"REACTOME_PATHWAY","Proteasome assembly","30","213","50","10908","1.54e-37","1.81e-35","30.73","1.45e-34","1.22e-35","2.14e-39","R-HSA-9907900~Proteasome assembly","PSMD12,PSMD11,PSMD14,PSMD13,PSMB10,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMD4,PSMD5,PSMB3,PSMD3,PSMB1,PSMD1,PSMB9,PSMA6,PSMC5,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,PSME3,PSMC2,PSME1,PSMG2"
"REACTOME_PATHWAY","Vif-mediated degradation of APOBEC3G","28","213","41","10908","3.14e-37","3.29e-35","34.97","2.96e-34","2.23e-35","3.13e-39","R-HSA-180585~Vif-mediated degradation of APOBEC3G","PSMD12,PSMD11,CUL5,PSMD14,PSMD13,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,PSMD3,PSMB1,PSMD1,ELOC,RPS27A,RBX1,PSMA6,PSMC5,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,PSMC2,UBA52"
"REACTOME_PATHWAY","Orc1 removal from chromatin","31","213","58","10908","9.94e-37","9.36e-35","27.37","9.35e-34","6.33e-35","1.79e-38","R-HSA-68949~Orc1 removal from chromatin","PSMD12,PSMD11,PSMD14,PSMD13,PSMD8,PSMB6,PSMB7,PSMD6,PSMB4,PSMD7,PSMB5,PSMB3,ORC2,PSMD3,PSMB1,PSMD1,RPS27A,CDC6,RBX1,PSMA6,PSMC5,PSMA3,PSMA4,PSMA1,PSMA2,PSMC1,PSMC2,MCM4,MCM6,UBA52,MCM2"
