"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Inhibition of DNA recombination at telomere","8","178","51","10908","1.67e-5","7.35e-3","9.61","1.58e-2","6.93e-3","1.50e-6","R-HSA-9670095~Inhibition of DNA recombination at telomere","H2BC8,POLR2B,POLR2C,H4C12,POLR2E,POLR2F,POLR2H,H2BC17"
"GOTERM_BP_DIRECT","transcription initiation at RNA polymerase II promoter","8","240","59","16251","2.43e-5","4.11e-2","9.18","4.03e-2","4.11e-2","2.33e-6","GO:0006367~transcription initiation at RNA polymerase II promoter","TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H,MED27"
"REACTOME_PATHWAY","Transcriptional regulation by small RNAs","8","178","55","10908","2.77e-5","7.35e-3","8.91","2.61e-2","6.93e-3","2.72e-6","R-HSA-5578749~Transcriptional regulation by small RNAs","H2BC8,POLR2B,POLR2C,H4C12,POLR2E,POLR2F,POLR2H,H2BC17"
"REACTOME_PATHWAY","Abortive elongation of HIV-1 transcript in the absence of Tat","6","178","23","10908","2.82e-5","7.35e-3","15.99","2.66e-2","6.93e-3","1.39e-6","R-HSA-167242~Abortive elongation of HIV-1 transcript in the absence of Tat","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","RNA Pol II CTD phosphorylation and interaction with CE","6","178","27","10908","6.42e-5","7.35e-3","13.62","5.96e-2","6.93e-3","3.86e-6","R-HSA-77075~RNA Pol II CTD phosphorylation and interaction with CE","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","RNA Pol II CTD phosphorylation and interaction with CE during HIV infection","6","178","27","10908","6.42e-5","7.35e-3","13.62","5.96e-2","6.93e-3","3.86e-6","R-HSA-167160~RNA Pol II CTD phosphorylation and interaction with CE during HIV infection","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"GOTERM_BP_DIRECT","transcription elongation by RNA polymerase II","7","240","49","16251","7.83e-5","6.64e-2","9.67","1.24e-1","6.64e-2","7.11e-6","GO:0006368~transcription elongation by RNA polymerase II","POLR2B,POLR2C,TCEA2,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","HIV Transcription Initiation","7","178","46","10908","9.17e-5","7.35e-3","9.33","8.40e-2","6.93e-3","8.57e-6","R-HSA-167161~HIV Transcription Initiation","TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","RNA Polymerase II Transcription Initiation And Promoter Clearance","7","178","46","10908","9.17e-5","7.35e-3","9.33","8.40e-2","6.93e-3","8.57e-6","R-HSA-76042~RNA Polymerase II Transcription Initiation And Promoter Clearance","TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","RNA Polymerase II Promoter Escape","7","178","46","10908","9.17e-5","7.35e-3","9.33","8.40e-2","6.93e-3","8.57e-6","R-HSA-73776~RNA Polymerase II Promoter Escape","TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","RNA Polymerase II Transcription Pre-Initiation And Promoter Opening","7","178","46","10908","9.17e-5","7.35e-3","9.33","8.40e-2","6.93e-3","8.57e-6","R-HSA-73779~RNA Polymerase II Transcription Pre-Initiation And Promoter Opening","TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","RNA Polymerase II Transcription Initiation","7","178","46","10908","9.17e-5","7.35e-3","9.33","8.40e-2","6.93e-3","8.57e-6","R-HSA-75953~RNA Polymerase II Transcription Initiation","TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","RNA Polymerase II HIV Promoter Escape","7","178","46","10908","9.17e-5","7.35e-3","9.33","8.40e-2","6.93e-3","8.57e-6","R-HSA-167162~RNA Polymerase II HIV Promoter Escape","TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H"
"REACTOME_PATHWAY","mRNA Capping","6","178","29","10908","9.20e-5","7.35e-3","12.68","8.43e-2","6.93e-3","6.04e-6","R-HSA-72086~mRNA Capping","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Transcription of the HIV genome","8","178","69","10908","1.22e-4","7.96e-3","7.11","1.10e-1","7.51e-3","1.54e-5","R-HSA-167172~Transcription of the HIV genome","TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Tat-mediated HIV elongation arrest and recovery","6","178","31","10908","1.28e-4","7.96e-3","11.86","1.16e-1","7.51e-3","9.10e-6","R-HSA-167243~Tat-mediated HIV elongation arrest and recovery","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Pausing and recovery of Tat-mediated HIV elongation","6","178","31","10908","1.28e-4","7.96e-3","11.86","1.16e-1","7.51e-3","9.10e-6","R-HSA-167238~Pausing and recovery of Tat-mediated HIV elongation","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Cell Cycle","25","178","652","10908","1.36e-4","7.96e-3","2.35","1.22e-1","7.51e-3","5.55e-5","R-HSA-1640170~Cell Cycle","CDCA5,RSF1,HDAC8,SKA2,LMNB1,TUBA1C,PPP1CC,CCND1,POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,H2BC8,RRM2,CDKN2A,CDK11B,H2BC17,CDC25A,NEDD1,TFDP1,ESPL1,PSMC2,H4C12,KIF20A"
"REACTOME_PATHWAY","Viral Infection Pathways","33","178","1004","10908","1.49e-4","7.96e-3","2.01","1.33e-1","7.51e-3","7.14e-5","R-HSA-9824446~Viral Infection Pathways","DDX3Y,EIF4A1,GTF2B,CXCR4,HNRNPU,YBX1,TUBA1C,PPP1CC,POLR2B,POLR2C,POLR2E,POLR2F,ARIH1,POLR2H,VPS36,PARP6,H2BC8,CPSF1,TAF12,ATG14,MED4,MED27,SUPT5H,H2BC17,GATAD2A,MED28,MED22,PACS1,LCK,TAL1,PSMC2,H4C12,HSPA1A"
"REACTOME_PATHWAY","Pausing and recovery of HIV elongation","6","178","33","10908","1.75e-4","7.96e-3","11.14","1.54e-1","7.51e-3","1.33e-5","R-HSA-167290~Pausing and recovery of HIV elongation","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","Formation of the HIV-1 Early Elongation Complex","6","178","33","10908","1.75e-4","7.96e-3","11.14","1.54e-1","7.51e-3","1.33e-5","R-HSA-167158~Formation of the HIV-1 Early Elongation Complex","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
"REACTOME_PATHWAY","HIV elongation arrest and recovery","6","178","33","10908","1.75e-4","7.96e-3","11.14","1.54e-1","7.51e-3","1.33e-5","R-HSA-167287~HIV elongation arrest and recovery","POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H"
