Category,Term,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact,Full Term,User Ids,Theme,minus_log10_Benjamini
REACTOME_PATHWAY,Inhibition of DNA recombination at telomere,8,178,51,10908,1.67e-05,0.00735,9.61,0.0158,0.00693,1.5e-06,R-HSA-9670095~Inhibition of DNA recombination at telomere,"H2BC8,POLR2B,POLR2C,H4C12,POLR2E,POLR2F,POLR2H,H2BC17",DNA replication & repair,2.1337126609158052
GOTERM_BP_DIRECT,transcription initiation at RNA polymerase II promoter,8,240,59,16251,2.43e-05,0.0411,9.18,0.0403,0.0411,2.33e-06,GO:0006367~transcription initiation at RNA polymerase II promoter,"TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H,MED27",,1.3861581781239307
REACTOME_PATHWAY,Transcriptional regulation by small RNAs,8,178,55,10908,2.77e-05,0.00735,8.91,0.0261,0.00693,2.72e-06,R-HSA-5578749~Transcriptional regulation by small RNAs,"H2BC8,POLR2B,POLR2C,H4C12,POLR2E,POLR2F,POLR2H,H2BC17",Protein & RNA homeostasis,2.1337126609158052
REACTOME_PATHWAY,Abortive elongation of HIV-1 transcript in the absence of Tat,6,178,23,10908,2.82e-05,0.00735,15.99,0.0266,0.00693,1.39e-06,R-HSA-167242~Abortive elongation of HIV-1 transcript in the absence of Tat,"POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H",Immune response & host–pathogen interactions,2.1337126609158052
REACTOME_PATHWAY,RNA Pol II CTD phosphorylation and interaction with CE,6,178,27,10908,6.42e-05,0.00735,13.62,0.0596,0.00693,3.86e-06,R-HSA-77075~RNA Pol II CTD phosphorylation and interaction with CE,"POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H",Protein & RNA homeostasis,2.1337126609158052
REACTOME_PATHWAY,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,6,178,27,10908,6.42e-05,0.00735,13.62,0.0596,0.00693,3.86e-06,R-HSA-167160~RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,"POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H",Immune response & host–pathogen interactions,2.1337126609158052
GOTERM_BP_DIRECT,transcription elongation by RNA polymerase II,7,240,49,16251,7.83e-05,0.0664,9.67,0.124,0.0664,7.11e-06,GO:0006368~transcription elongation by RNA polymerase II,"POLR2B,POLR2C,TCEA2,POLR2E,POLR2F,POLR2H,SUPT5H",,1.1778319206319825
REACTOME_PATHWAY,HIV Transcription Initiation,7,178,46,10908,9.17e-05,0.00735,9.33,0.084,0.00693,8.57e-06,R-HSA-167161~HIV Transcription Initiation,"TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H",Immune response & host–pathogen interactions,2.1337126609158052
REACTOME_PATHWAY,RNA Polymerase II Transcription Initiation And Promoter Clearance,7,178,46,10908,9.17e-05,0.00735,9.33,0.084,0.00693,8.57e-06,R-HSA-76042~RNA Polymerase II Transcription Initiation And Promoter Clearance,"TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H",Protein & RNA homeostasis,2.1337126609158052
REACTOME_PATHWAY,RNA Polymerase II Promoter Escape,7,178,46,10908,9.17e-05,0.00735,9.33,0.084,0.00693,8.57e-06,R-HSA-73776~RNA Polymerase II Promoter Escape,"TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H",Protein & RNA homeostasis,2.1337126609158052
REACTOME_PATHWAY,RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,7,178,46,10908,9.17e-05,0.00735,9.33,0.084,0.00693,8.57e-06,R-HSA-73779~RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,"TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H",Protein & RNA homeostasis,2.1337126609158052
REACTOME_PATHWAY,RNA Polymerase II Transcription Initiation,7,178,46,10908,9.17e-05,0.00735,9.33,0.084,0.00693,8.57e-06,R-HSA-75953~RNA Polymerase II Transcription Initiation,"TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H",Protein & RNA homeostasis,2.1337126609158052
REACTOME_PATHWAY,RNA Polymerase II HIV Promoter Escape,7,178,46,10908,9.17e-05,0.00735,9.33,0.084,0.00693,8.57e-06,R-HSA-167162~RNA Polymerase II HIV Promoter Escape,"TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H",Immune response & host–pathogen interactions,2.1337126609158052
REACTOME_PATHWAY,mRNA Capping,6,178,29,10908,9.2e-05,0.00735,12.68,0.0843,0.00693,6.04e-06,R-HSA-72086~mRNA Capping,"POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H",Protein & RNA homeostasis,2.1337126609158052
REACTOME_PATHWAY,Transcription of the HIV genome,8,178,69,10908,0.000122,0.00796,7.11,0.11,0.00751,1.54e-05,R-HSA-167172~Transcription of the HIV genome,"TAF12,POLR2B,POLR2C,GTF2B,POLR2E,POLR2F,POLR2H,SUPT5H",Immune response & host–pathogen interactions,2.099086932262331
REACTOME_PATHWAY,Tat-mediated HIV elongation arrest and recovery,6,178,31,10908,0.000128,0.00796,11.86,0.116,0.00751,9.1e-06,R-HSA-167243~Tat-mediated HIV elongation arrest and recovery,"POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H",Immune response & host–pathogen interactions,2.099086932262331
REACTOME_PATHWAY,Pausing and recovery of Tat-mediated HIV elongation,6,178,31,10908,0.000128,0.00796,11.86,0.116,0.00751,9.1e-06,R-HSA-167238~Pausing and recovery of Tat-mediated HIV elongation,"POLR2B,POLR2C,POLR2E,POLR2F,POLR2H,SUPT5H",Immune response & host–pathogen interactions,2.099086932262331
