"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Signaling by FGFR2 IIIa TM","4","146","19","10908","1.91e-3","9.04e-1","15.73","7.99e-1","9.04e-1","1.02e-4","R-HSA-8851708~Signaling by FGFR2 IIIa TM","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","Abortive elongation of HIV-1 transcript in the absence of Tat","4","146","23","10908","3.35e-3","9.04e-1","12.99","9.41e-1","9.04e-1","2.24e-4","R-HSA-167242~Abortive elongation of HIV-1 transcript in the absence of Tat","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","FGFR2 alternative splicing","4","146","26","10908","4.78e-3","9.04e-1","11.49","9.82e-1","9.04e-1","3.66e-4","R-HSA-6803529~FGFR2 alternative splicing","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","mRNA Capping","4","146","29","10908","6.53e-3","9.04e-1","10.31","9.96e-1","9.04e-1","5.64e-4","R-HSA-72086~mRNA Capping","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","Role of second messengers in netrin-1 signaling","3","146","10","10908","7.36e-3","9.04e-1","22.41","9.98e-1","9.04e-1","2.63e-4","R-HSA-418890~Role of second messengers in netrin-1 signaling","TRPC7,TRPC5,PITPNA"
"REACTOME_PATHWAY","Formation of the HIV-1 Early Elongation Complex","4","146","33","10908","9.38e-3","9.04e-1","9.06","1.00e+0","9.04e-1","9.32e-4","R-HSA-167158~Formation of the HIV-1 Early Elongation Complex","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","Formation of the Early Elongation Complex","4","146","33","10908","9.38e-3","9.04e-1","9.06","1.00e+0","9.04e-1","9.32e-4","R-HSA-113418~Formation of the Early Elongation Complex","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","FGFR2 mutant receptor activation","4","146","33","10908","9.38e-3","9.04e-1","9.06","1.00e+0","9.04e-1","9.32e-4","R-HSA-1839126~FGFR2 mutant receptor activation","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","Signaling by FGFR in disease","5","146","63","10908","9.73e-3","9.04e-1","5.93","1.00e+0","9.04e-1","1.51e-3","R-HSA-1226099~Signaling by FGFR in disease","NCBP2,POLR2B,POLR2D,ERLIN2,POLR2H"
"REACTOME_PATHWAY","Molecules associated with elastic fibres","4","146","37","10908","1.28e-2","9.04e-1","8.08","1.00e+0","9.04e-1","1.44e-3","R-HSA-2129379~Molecules associated with elastic fibres","BMP4,ITGB3,FN1,LTBP2"
"REACTOME_PATHWAY","HIV Transcription Elongation","4","146","43","10908","1.93e-2","9.04e-1","6.95","1.00e+0","9.04e-1","2.53e-3","R-HSA-167169~HIV Transcription Elongation","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","Tat-mediated elongation of the HIV-1 transcript","4","146","43","10908","1.93e-2","9.04e-1","6.95","1.00e+0","9.04e-1","2.53e-3","R-HSA-167246~Tat-mediated elongation of the HIV-1 transcript","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","Viral Messenger RNA Synthesis","4","146","43","10908","1.93e-2","9.04e-1","6.95","1.00e+0","9.04e-1","2.53e-3","R-HSA-168325~Viral Messenger RNA Synthesis","NUP210,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","Signaling by FGFR2 in disease","4","146","43","10908","1.93e-2","9.04e-1","6.95","1.00e+0","9.04e-1","2.53e-3","R-HSA-5655253~Signaling by FGFR2 in disease","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","Formation of HIV-1 elongation complex containing HIV-1 Tat","4","146","43","10908","1.93e-2","9.04e-1","6.95","1.00e+0","9.04e-1","2.53e-3","R-HSA-167200~Formation of HIV-1 elongation complex containing HIV-1 Tat","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","PPARA activates gene expression","6","146","118","10908","2.05e-2","9.04e-1","3.80","1.00e+0","9.04e-1","5.01e-3","R-HSA-1989781~PPARA activates gene expression","MED11,GLIPR1,FAM120B,NR1H3,PLIN2,APOA5"
"REACTOME_PATHWAY","Elastic fibre formation","4","146","44","10908","2.05e-2","9.04e-1","6.79","1.00e+0","9.04e-1","2.76e-3","R-HSA-1566948~Elastic fibre formation","BMP4,ITGB3,FN1,LTBP2"
"GOTERM_BP_DIRECT","positive regulation of SMAD protein signal transduction","4","234","41","16251","2.08e-2","1.00e+0","6.78","1.00e+0","1.00e+0","2.79e-3","GO:0060391~positive regulation of SMAD protein signal transduction","BMP4,NODAL,SH2B1,TGFBR2"
"REACTOME_PATHWAY","Netrin-1 signaling","4","146","45","10908","2.17e-2","9.04e-1","6.64","1.00e+0","9.04e-1","3.00e-3","R-HSA-373752~Netrin-1 signaling","TRPC7,TRPC5,PITPNA,SLIT2"
"REACTOME_PATHWAY","Formation of HIV elongation complex in the absence of HIV Tat","4","146","45","10908","2.17e-2","9.04e-1","6.64","1.00e+0","9.04e-1","3.00e-3","R-HSA-167152~Formation of HIV elongation complex in the absence of HIV Tat","NCBP2,POLR2B,POLR2D,POLR2H"
"REACTOME_PATHWAY","Regulation of lipid metabolism by PPARalpha","6","146","120","10908","2.18e-2","9.04e-1","3.74","1.00e+0","9.04e-1","5.43e-3","R-HSA-400206~Regulation of lipid metabolism by PPARalpha","MED11,GLIPR1,FAM120B,NR1H3,PLIN2,APOA5"
"REACTOME_PATHWAY","Influenza Viral RNA Transcription and Replication","6","146","121","10908","2.25e-2","9.04e-1","3.70","1.00e+0","9.04e-1","5.66e-3","R-HSA-168273~Influenza Viral RNA Transcription and Replication","NUP210,POLR2B,POLR2D,RPL23A,POLR2H,RPL28"
"REACTOME_PATHWAY","TGF-beta receptor signaling activates SMADs","4","146","47","10908","2.44e-2","9.33e-1","6.36","1.00e+0","9.33e-1","3.52e-3","R-HSA-2173789~TGF-beta receptor signaling activates SMADs","ZFYVE9,ITGB3,LTBP2,TGFBR2"
"REACTOME_PATHWAY","mRNA Splicing - Minor Pathway","4","146","50","10908","2.86e-2","1.00e+0","5.98","1.00e+0","1.00e+0","4.40e-3","R-HSA-72165~mRNA Splicing - Minor Pathway","NCBP2,POLR2B,POLR2D,POLR2H"
