Category,Term,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact,Full Term,User Ids,Theme,minus_log10_Benjamini
REACTOME_PATHWAY,Signaling by FGFR2 IIIa TM,4,146,19,10908,0.00191,0.904,15.73,0.799,0.904,0.000102,R-HSA-8851708~Signaling by FGFR2 IIIa TM,"NCBP2,POLR2B,POLR2D,POLR2H",Cell signaling,0.04383156952463668
REACTOME_PATHWAY,Abortive elongation of HIV-1 transcript in the absence of Tat,4,146,23,10908,0.00335,0.904,12.99,0.941,0.904,0.000224,R-HSA-167242~Abortive elongation of HIV-1 transcript in the absence of Tat,"NCBP2,POLR2B,POLR2D,POLR2H",Immune response & host–pathogen interactions,0.04383156952463668
REACTOME_PATHWAY,FGFR2 alternative splicing,4,146,26,10908,0.00478,0.904,11.49,0.982,0.904,0.000366,R-HSA-6803529~FGFR2 alternative splicing,"NCBP2,POLR2B,POLR2D,POLR2H",Protein & RNA homeostasis,0.04383156952463668
REACTOME_PATHWAY,mRNA Capping,4,146,29,10908,0.00653,0.904,10.31,0.996,0.904,0.000564,R-HSA-72086~mRNA Capping,"NCBP2,POLR2B,POLR2D,POLR2H",Protein & RNA homeostasis,0.04383156952463668
REACTOME_PATHWAY,Role of second messengers in netrin-1 signaling,3,146,10,10908,0.00736,0.904,22.41,0.998,0.904,0.000263,R-HSA-418890~Role of second messengers in netrin-1 signaling,"TRPC7,TRPC5,PITPNA",,0.04383156952463668
REACTOME_PATHWAY,Formation of the HIV-1 Early Elongation Complex,4,146,33,10908,0.00938,0.904,9.06,1.0,0.904,0.000932,R-HSA-167158~Formation of the HIV-1 Early Elongation Complex,"NCBP2,POLR2B,POLR2D,POLR2H",Immune response & host–pathogen interactions,0.04383156952463668
REACTOME_PATHWAY,Formation of the Early Elongation Complex,4,146,33,10908,0.00938,0.904,9.06,1.0,0.904,0.000932,R-HSA-113418~Formation of the Early Elongation Complex,"NCBP2,POLR2B,POLR2D,POLR2H",Protein & RNA homeostasis,0.04383156952463668
REACTOME_PATHWAY,FGFR2 mutant receptor activation,4,146,33,10908,0.00938,0.904,9.06,1.0,0.904,0.000932,R-HSA-1839126~FGFR2 mutant receptor activation,"NCBP2,POLR2B,POLR2D,POLR2H",Cell signaling,0.04383156952463668
REACTOME_PATHWAY,Signaling by FGFR in disease,5,146,63,10908,0.00973,0.904,5.93,1.0,0.904,0.00151,R-HSA-1226099~Signaling by FGFR in disease,"NCBP2,POLR2B,POLR2D,ERLIN2,POLR2H",,0.04383156952463668
REACTOME_PATHWAY,Molecules associated with elastic fibres,4,146,37,10908,0.0128,0.904,8.08,1.0,0.904,0.00144,R-HSA-2129379~Molecules associated with elastic fibres,"BMP4,ITGB3,FN1,LTBP2",,0.04383156952463668
REACTOME_PATHWAY,HIV Transcription Elongation,4,146,43,10908,0.0193,0.904,6.95,1.0,0.904,0.00253,R-HSA-167169~HIV Transcription Elongation,"NCBP2,POLR2B,POLR2D,POLR2H",Immune response & host–pathogen interactions,0.04383156952463668
REACTOME_PATHWAY,Tat-mediated elongation of the HIV-1 transcript,4,146,43,10908,0.0193,0.904,6.95,1.0,0.904,0.00253,R-HSA-167246~Tat-mediated elongation of the HIV-1 transcript,"NCBP2,POLR2B,POLR2D,POLR2H",Immune response & host–pathogen interactions,0.04383156952463668
REACTOME_PATHWAY,Viral Messenger RNA Synthesis,4,146,43,10908,0.0193,0.904,6.95,1.0,0.904,0.00253,R-HSA-168325~Viral Messenger RNA Synthesis,"NUP210,POLR2B,POLR2D,POLR2H",,0.04383156952463668
REACTOME_PATHWAY,Signaling by FGFR2 in disease,4,146,43,10908,0.0193,0.904,6.95,1.0,0.904,0.00253,R-HSA-5655253~Signaling by FGFR2 in disease,"NCBP2,POLR2B,POLR2D,POLR2H",,0.04383156952463668
REACTOME_PATHWAY,Formation of HIV-1 elongation complex containing HIV-1 Tat,4,146,43,10908,0.0193,0.904,6.95,1.0,0.904,0.00253,R-HSA-167200~Formation of HIV-1 elongation complex containing HIV-1 Tat,"NCBP2,POLR2B,POLR2D,POLR2H",Immune response & host–pathogen interactions,0.04383156952463668
REACTOME_PATHWAY,PPARA activates gene expression,6,146,118,10908,0.0205,0.904,3.8,1.0,0.904,0.00501,R-HSA-1989781~PPARA activates gene expression,"MED11,GLIPR1,FAM120B,NR1H3,PLIN2,APOA5",,0.04383156952463668
REACTOME_PATHWAY,Elastic fibre formation,4,146,44,10908,0.0205,0.904,6.79,1.0,0.904,0.00276,R-HSA-1566948~Elastic fibre formation,"BMP4,ITGB3,FN1,LTBP2",,0.04383156952463668
GOTERM_BP_DIRECT,positive regulation of SMAD protein signal transduction,4,234,41,16251,0.0208,1.0,6.78,1.0,1.0,0.00279,GO:0060391~positive regulation of SMAD protein signal transduction,"BMP4,NODAL,SH2B1,TGFBR2",,-0.0
