"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","Ribosome-associated quality control","45","175","129","10908","5.63e-48","5.33e-45","21.74","5.32e-45","4.18e-45","1.73e-49","R-HSA-9948299~Ribosome-associated quality control","RPL4,RPL5,RPL30,PSMD11,RPL3,PSMD14,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,PSMB6,RPS14,RPL7A,PSMD6,RPS16,PSMD7,PSMD2,PSMB1,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,PSMA6,PSMC5,PSMA3,PSMC6,PSMA1,RPS29,RPL37A,RPL24,RPL27,RPL26,ABCE1,UBA52"
"REACTOME_PATHWAY","Regulation of expression of SLITs and ROBOs","44","175","144","10908","5.59e-44","2.65e-41","19.05","5.29e-41","2.08e-41","2.09e-45","R-HSA-9010553~Regulation of expression of SLITs and ROBOs","RPL4,RPL5,RPL30,PSMD11,RPL3,PSMD14,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,PSMB6,RPS14,RPL7A,PSMD6,RPS16,PSMD7,PSMD2,PSMB1,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,PSMA6,PSMC5,PSMA3,PSMC6,PSMA1,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"GOTERM_BP_DIRECT","cytoplasmic translation","34","236","78","16251","1.17e-40","1.55e-37","30.02","1.55e-37","1.53e-37","2.28e-42","GO:0002181~cytoplasmic translation","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RWDD1,RPL23,RPS5,RPL35A,GTPBP1,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Signaling by ROBO receptors","45","175","189","10908","9.72e-40","3.07e-37","14.84","9.20e-37","2.41e-37","5.11e-41","R-HSA-376176~Signaling by ROBO receptors","RPL4,RPL5,RPL30,PSMD11,RPL3,PSMD14,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,PSMB6,RPS14,RPL7A,PSMD6,RPS16,PSMD7,PSMD2,PSMB1,RPL14,RPS3,RPL13,RPL38,RAC1,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,PSMA6,PSMC5,PSMA3,PSMC6,PSMA1,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","36","175","95","10908","1.87e-39","4.42e-37","23.62","1.77e-36","3.47e-37","5.07e-41","R-HSA-9954709~Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide","RPL4,RPL5,RPL30,PSMD11,RPL3,PSMD14,RPLP0,RPL10A,RPL9,RPL6,RPL7,PSMB6,RPL7A,PSMD6,PSMD7,PSMD2,PSMB1,RPL14,RPL13,RPL38,RPS27A,RPL18,RPL17,RPL19,RPL23,RPL35A,PSMA6,PSMC5,PSMA3,PSMC6,PSMA1,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA","33","175","75","10908","1.37e-38","2.16e-36","27.43","1.30e-35","1.70e-36","2.91e-40","R-HSA-9954714~PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,ABCE1,UBA52"
"REACTOME_PATHWAY","Peptide chain elongation","33","175","75","10908","1.37e-38","2.16e-36","27.43","1.30e-35","1.70e-36","2.91e-40","R-HSA-156902~Peptide chain elongation","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,EEF2,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Eukaryotic Translation Elongation","33","175","79","10908","1.09e-37","1.48e-35","26.04","1.04e-34","1.16e-35","2.54e-39","R-HSA-156842~Eukaryotic Translation Elongation","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,EEF2,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","GTP hydrolysis and joining of the 60S ribosomal subunit","35","175","98","10908","2.87e-37","3.39e-35","22.26","2.71e-34","2.66e-35","8.55e-39","R-HSA-72706~GTP hydrolysis and joining of the 60S ribosomal subunit","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,EIF5B,RPL23,RPS5,RPL35A,EIF2S2,RPS29,RPL37A,EIF3G,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Viral mRNA Translation","32","175","75","10908","7.45e-37","7.84e-35","26.59","7.04e-34","6.15e-35","1.67e-38","R-HSA-192823~Viral mRNA Translation","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
