category	early_low_unrefined_average	early_low_unrefined_n_terms	early_low_unrefined_genes_frac	early_low_refined_average	early_low_refined_n_terms	early_low_refined_genes_frac	early_high_unrefined_average	early_high_unrefined_n_terms	early_high_unrefined_genes_frac	early_high_refined_average	early_high_refined_n_terms	early_high_refined_genes_frac	late_low_unrefined_average	late_low_unrefined_n_terms	late_low_unrefined_genes_frac	late_low_refined_average	late_low_refined_n_terms	late_low_refined_genes_frac	late_high_unrefined_average	late_high_unrefined_n_terms	late_high_unrefined_genes_frac	late_high_refined_average	late_high_refined_n_terms	late_high_refined_genes_frac
Cell cycle & mitosis	4.628751704727929	36	0.084	17.922877142829915	52	0.284	1.7496019300943215	2	0.1	6.145923102893225	26	0.24	8.911820597240869	35	0.092	23.6202857396525	47	0.352	0.0	0	0.0	1.6050025142326605	4	0.104
DNA replication & repair	4.46348186067067	12	0.06	7.570782094966665	55	0.26	1.7966298131040184	3	0.036	4.4601573125089775	57	0.192	8.913491107625692	10	0.06	9.828910784805792	77	0.328	0.0	0	0.0	2.1372724716820253	1	0.072
Cytoskeleton & Rho GTPase signaling	5.839651003103817	6	0.224	7.227608481798692	11	0.252	0.0	0	0.0	3.884454767319945	7	0.132	6.964296899176831	6	0.192	7.245527638060753	14	0.244	0.0	0	0.0	1.3288271572849168	2	0.1
Membrane trafficking & vesicular transport	2.4150863740039594	6	0.076	5.1679685145934675	17	0.272	0.0	0	0.0	2.8579329663411466	10	0.148	7.60398956372909	3	0.1	5.4357364735325335	13	0.264	0.0	0	0.0	0.0	0	0.0
Immune response & host–pathogen interactions	7.965679768255353	51	0.376	9.622250378094098	74	0.364	1.94335587575179	19	0.148	2.358746192836603	8	0.292	9.611020641926437	44	0.3	15.329881943859155	50	0.348	0.0	0	0.0	1.9409999832893596	2	0.24
Protein & RNA homeostasis	23.243615577433825	45	0.472	5.835436366036567	45	0.544	1.8102615713824497	18	0.052	3.6487538392887684	7	0.26	22.21474418224206	35	0.396	9.014788256561213	25	0.54	0.0	0	0.0	0.0	0	0.0
Ubiquitin-mediated protein degradation	4.501253790663531	9	0.06	15.078485012883396	14	0.192	0.0	0	0.0	1.4609239012072237	1	0.048	9.573668804582445	9	0.088	20.48407460044368	12	0.22	0.0	0	0.0	0.0	0	0.0
Autophagy	36.01999662841625	1	0.164	2.2580635694905467	8	0.072	0.0	0	0.0	2.1719612211446773	4	0.044	26.329754146925875	1	0.132	2.510748754854029	6	0.048	0.0	0	0.0	2.0364072412275536	2	0.048
Cell signaling	5.782723158052847	59	0.264	12.508812938065976	74	0.372	1.6310663472443956	4	0.036	3.2336262739044472	4	0.12	10.431540878641934	47	0.22	19.35988412436636	54	0.372	0.0	0	0.0	0.0	0	0.0
Other	12.663920793655889	21	0.528	11.436682037959478	23	0.408	1.4668852624152464	3	0.2	2.776581964168317	6	0.356	12.342559864343622	21	0.408	14.470150397173583	20	0.4	0.0	0	0.0	0.0	0	0.0
