Name	UniProt_IDs	dIntensity_cPathogen_eMean_oVoronoiCells_nZScore	dIntensity_cLatePathogen_eMean_oVoronoiCells_nZScore	eCount_oCells_nZScore
A1BG	P04217	-0.31496883987446495	-0.6426751241283749	0.34962538614061794
A1BG	V9HWD8	-0.31496883987446495	-0.6426751241283749	0.34962538614061794
A1CF	B4E1E3	-0.7504399968322053	-0.8253756742988143	0.49887860899829084
A1CF	F8W9F8	-0.7504399968322053	-0.8253756742988143	0.49887860899829084
A1CF	Q9NQ94	-0.7504399968322053	-0.8253756742988143	0.49887860899829084
A2M	P01023	-0.17392561011241162	-0.7647834056712431	0.34402774633395644
A2ML1	A8K2U0	-0.1860106772405925	-0.447377231646253	0.8892466175787412
A2ML1	B3KVV6	-0.1860106772405925	-0.447377231646253	0.8892466175787412
A2ML1	H0YGG5	-0.1860106772405925	-0.447377231646253	0.8892466175787412
A4GALT	A0A0S2Z5J1	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GALT	A9XEA7	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GALT	B0L3P6	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GALT	I6S6F0	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GALT	Q540I5	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GALT	Q540I6	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GALT	Q5D079	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GALT	Q6RJV9	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GALT	Q6RJW0	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GALT	Q6RJW1	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GALT	Q7Z2I1	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GALT	Q7Z7C6	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GALT	Q9NPC4	-0.46398254084116103	-1.2039878992804476	0.7882508963483567
A4GNT	Q9UNA3	-0.007261188485884418	-0.7170480539226524	-0.08251417197016775
AAAS	B4DDU7	0.3900206559243998	0.025223733378266888	0.5646515035084012
AAAS	Q53HS1	0.3900206559243998	0.025223733378266888	0.5646515035084012
AAAS	Q9NRG9	0.3900206559243998	0.025223733378266888	0.5646515035084012
AACS	A0A5A4UB59	-0.6057176047891641	-0.9292266646992536	0.6349919744803575
AACS	Q86V21	-0.6057176047891641	-0.9292266646992536	0.6349919744803575
AADAC	P22760	-1.724519787481174	-1.280177414645241	0.9635547806145539
AADACL2	Q6P093	-0.01956259408463079	-0.4702657938266226	0.6794139209162389
AADACL4	Q5VUY2	-0.5467602633680909	-0.6244825752975448	0.726516128363698
AADAT	Q4W5N8	0.293882428351871	-0.16422172421118944	0.4131135368722088
AADAT	Q8N5Z0	0.293882428351871	-0.16422172421118944	0.4131135368722088
AAGAB	Q6PD74	0.5759147545334393	-0.6061694090460521	0.5892664812312879
AAK1	A0A096LP25	1.1497190395846757	0.1883078561003188	-0.12177961871314119
AAK1	B7ZLC4	1.1497190395846757	0.1883078561003188	-0.12177961871314119
AAK1	E9PG46	1.1497190395846757	0.1883078561003188	-0.12177961871314119
AAK1	Q2M2I8	1.1497190395846757	0.1883078561003188	-0.12177961871314119
AAMDC	E9PJP1	-0.46246173471840857	-0.33059040889834757	0.5254674342875669
AAMDC	E9PLK9	-0.46246173471840857	-0.33059040889834757	0.5254674342875669
AAMDC	E9PNP3	-0.46246173471840857	-0.33059040889834757	0.5254674342875669
AAMDC	E9PR47	-0.46246173471840857	-0.33059040889834757	0.5254674342875669
AAMDC	K4DI89	-0.46246173471840857	-0.33059040889834757	0.5254674342875669
AAMDC	Q9H7C9	-0.46246173471840857	-0.33059040889834757	0.5254674342875669
AAMP	C9JEH3	-0.5914595982783125	-0.9728015727040347	0.7920460402751299
AAMP	C9JG97	-0.5914595982783125	-0.9728015727040347	0.7920460402751299
AAMP	Q13685	-0.5914595982783125	-0.9728015727040347	0.7920460402751299
AANAT	F1T0I5	-0.10700810072225295	-0.26267126988276096	0.6357397546256331
AANAT	Q16613	-0.10700810072225295	-0.26267126988276096	0.6357397546256331
AAR2	A0A7P0TA70	0.27774121313910005	-0.084306913925306	0.42810681252951555
AAR2	Q9Y312	0.27774121313910005	-0.084306913925306	0.42810681252951555
AARD	B2RU19	-0.26670135432664693	-0.2503376362410781	0.5543030232504521
AARD	Q4LEZ3	-0.26670135432664693	-0.2503376362410781	0.5543030232504521
