Name	unrefined_intensity	refined_intensity
A1BG	-0.6426751241283749	-0.03927130613498848
A1CF	-0.8253756742988143	-0.004256462352358986
A2M	-0.7647834056712431	-0.02262764662359507
A2ML1	-0.447377231646253	-0.012133317899478026
A4GALT	-1.2039878992804476	-0.007162524012819383
A4GNT	-0.7170480539226524	-0.0038899856925303893
AAAS	0.0252237333782668	0.0006501417278248268
AACS	-0.9292266646992536	-0.01726596065677683
AADAC	-1.280177414645241	-0.003945506791936632
AADACL2	-0.4702657938266226	-0.0009240722848693134
AADACL4	-0.6244825752975448	-0.0003547061027690055
AADAT	-0.1642217242111894	-0.0004542372891681499
AAGAB	-0.6061694090460521	-0.006560571514105422
AAK1	0.1883078561003188	0.005697819109883447
AAMDC	-0.3305904088983475	-0.0025141400596719325
AAMP	-0.9728015727040348	-0.0005856265467678289
AANAT	-0.2626712698827609	-0.0075536377080185554
AAR2	-0.084306913925306	-0.0035428294438831338
AARD	-0.2503376362410781	-0.0004260746568823149
AARS1	-1.05515855286693	-0.2965428148562749
AARS2	0.3764167718658808	0.00036964126997229493
AARSD1	0.3595314068909171	0.002377940725176526
AASDH	-0.2067980802105863	-0.0016388747856688963
AASDHPPT	-0.6661835165902641	-0.0033815475302121805
AASS	-0.19158009142336	-0.0024581641530531323
AATF	-0.8983260595670308	-0.0006620663059009017
AATK	-0.6331528420935482	-0.013375986942068298
ABAT	-0.2623429797152184	-0.02183323214381934
ABCA1	-0.1514622208498687	-0.003381545542694169
ABCA10	-0.5917312711573721	-0.004611953527400558
ABCA12	-0.4408852373472935	-0.010687499038535742
ABCA13	-0.4194321338452967	-0.01259386925083888
ABCA2	-0.7061474422192726	-0.015268319995665112
ABCA3	-0.0636797059232633	-0.0014683903388845285
ABCA4	-0.4287049664985848	-0.00659476849964773
ABCA5	-0.3305576465862831	-0.00214598024163815
ABCA6	0.109394303629766	0.0008269115411374012
ABCA7	-0.1586870726438311	-0.0023636439470298646
ABCA8	0.8433759935600105	0.007421708743328093
ABCA9	-0.1303298594206239	-0.0010331247956272855
ABCB1	-0.2255332133053567	-0.0031831757725918042
ABCB10	-0.6003675565624966	-0.0038531589780181033
ABCB11	-0.46250540493343	-0.006450562882606548
ABCB4	0.3445627847343353	0.006349947559869066
ABCB5	-0.0450205197931524	-0.0009437651564238537
ABCB6	-0.5665109613161273	-0.005028351292641947
ABCB7	0.1812980540662324	0.010232824767606289
ABCB8	-1.4047602409828457	-0.014030745286936663
ABCB9	-0.0535555988531646	-0.00036391029420725345
ABCC1	-1.225702051593088	-0.02776460287268663
ABCC10	-0.5082217824528243	-0.007549634578336705
ABCC11	-0.0012142800466383	-1.637942354910403e-05
ABCC12	-0.3690022608365154	-0.008870076345988158
ABCC2	-0.7562756503586687	-0.017398121336501177
ABCC3	-0.1464807950789973	-0.002012499643590344
ABCC4	-0.2732243911662813	-0.003513665670398377
ABCC5	-0.4107174516684931	-0.008708852845178729
ABCC6	-0.6933364382883576	-0.016422366877298037
ABCC8	-0.3547442427553043	-0.011810854818295101
ABCC9	-0.8364054140723872	-0.00922471531180436
ABCD1	-0.5609823088945552	-0.009747067617042898
ABCD2	0.4701517525666316	0.004129342842792725
ABCD3	0.7062080730664524	0.0037294848338639353
ABCD4	0.3167966937529189	0.007684220603670801
ABCE1	-2.055308397526655	-0.0013380057667898523
ABCF1	-1.1147869599306977	-0.006575013489671254
ABCF2	-0.0035328981237094	-1.9996203380195205e-06
ABCF3	-0.2547262441082889	-0.00016480787993806295
ABCG1	-1.6220390830151703	-0.013308830676139473
ABCG2	-0.3645926592484358	-0.0030975792329747107
ABCG4	0.2341836332470924	0.0015687961591222721
ABCG5	0.1567359176314151	0.004508351934750024
ABCG8	-0.1084793535032493	-0.0009438788548317722
ABHD1	-0.4861419421885526	-0.0011341691511258932
ABHD10	-0.7042995974767006	-0.06894881769417656
ABHD12	-0.3276726597399708	-0.0034638276861112312
ABHD12B	-1.5295242623900318	-0.0031049342526517647
ABHD13	-0.8177305399342579	-0.0033224391837528896
ABHD14A	-0.2081047120808229	-0.0018284080003421101
ABHD14B	-0.6044267788958009	-0.0019674091653058318
ABHD15	-0.1617655561152644	-0.00012844185155551992
ABHD16A	-0.4797890420480637	-0.009916279921049381
ABHD16B	-0.2113719404265491	-0.00016909755234123929
ABHD17A	-0.1663658128977179	-0.0007441542810914922
ABHD17B	-0.4602955711025127	-0.0008303732102689329
ABHD17C	-0.105817024480812	-0.0006790278460933706
ABHD18	-0.5992166043064557	-0.0005021435144088099
ABHD2	0.4466380542435769	0.00048370901274579376
ABHD3	1.3323579589526302	0.008415172868744812
ABHD4	0.8179484717814386	0.004540431966858766
ABHD5	0.0815833900602385	0.0005059801851535992
ABHD6	-0.3539658676372463	-0.004176797238119506
ABHD8	0.2753508188972619	0.00024671433373194663
ABI1	-0.7066625227284565	-0.025358584628110664
ABI2	-0.947537261291178	-0.09394073915892996
ABI3	-0.2333464974335143	-0.01742048276589901
ABI3BP	-0.272350648668259	-0.00952328513198301
ABITRAM	-0.5607325699534809	-0.004904727789383097
ABL1	0.1801303043873584	0.010554735185577264
ABL2	-0.2446811277948889	-0.01910543650160831
ABLIM1	-0.7436114676819348	-0.01638845313624216
ABLIM2	-0.4672212759635361	-0.008307661507907635
ABLIM3	-0.7988240830930959	-0.012922577192197013
ABO	-1.6336970428059958	-0.008557305110217805
ABR	-0.9315140358464172	-0.022621818360530243
ABRA	-0.1842870178240403	-0.001440940192366171
ABRAXAS1	-0.2533410188513495	-0.0115452569110937
ABRAXAS2	-0.2570002272728091	-0.0501356043363796
ABT1	-0.2520099338410408	-0.0001136564801623094
ABTB1	-0.8690199235238434	-0.023895440837135122
ABTB2	0.2037461577067159	0.006480961530492925
ABTB3	0.1566676152520523	0.004186785349995846
ACAA1	0.1615673691312559	0.005958281438822456
ACAA2	0.1406927656119121	0.017837732288106277
ACACA	-0.2352412183126787	-0.02356105470254296
ACACB	-0.4390894162220875	-0.010633428392650293
ACAD10	0.9521363346523676	0.016172987780405115
ACAD11	-0.8799974101658787	-0.0024595927614136314
ACAD8	0.1344331894607691	0.003273717029748649
ACAD9	-0.0271657169136351	-0.0008973651268081083
ACADL	-0.7045865848938222	-0.0011428394406977796
ACADM	-0.6641274513767708	-0.018909700923050794
ACADS	-1.1457222392182265	-0.1004259914341952
ACADSB	-0.5200875219754026	-0.01066023393792983
ACADVL	-1.116671915994187	-0.01752281570578078
ACAN	-0.532873138703121	-0.022002331897051867
ACAP1	-1.3144711944844056	-0.16159057288035694
ACAP2	0.1684437945489881	0.025713450569286683
ACAP3	0.1279831127328919	0.009049173968891855
ACAT1	0.1774495587654772	0.007209243223965042
ACAT2	-0.0947313669371177	-0.004152738932422429
ACBD3	-0.0562733959042442	-0.0003612189283093435
ACBD4	-0.5467046132862272	-0.005988602333937333
ACBD5	-1.0756175237489465	-0.0023663585522476823
ACBD6	-0.2865609428262093	-0.00025819140948641457
ACBD7	-0.5456858992888078	-0.0031442421517021107
ACCS	-0.889981258524468	-0.00243409874206442
ACCSL	-0.3649062060008121	-0.003842462349188551
ACD	-0.1127125656472164	-0.09232398964729144
ACE	-0.9382974546243548	-0.0067989033562080746
ACE2	-0.0453638887362866	-0.0007633835196542309
ACER1	-0.8294275319021458	-0.007216019527548668
ACER2	-0.4927723108238755	-0.004400949507968032
ACER3	-0.3429538242438915	-0.008229177012732175
ACHE	-0.3040239150936596	-0.008025319286727332
ACIN1	-0.2284517713361014	-0.0024117653499952227
ACKR1	-0.0635841228568836	-0.001687840541235975
ACKR2	-0.0756634289013354	-0.0027744266109541666
ACKR3	-0.8191244149442187	-0.02873570360065814
ACKR4	0.0718638410095577	0.0021012268472784578
ACKR5	-0.8018772710946995	-0.01230560860221926
ACLY	0.0716473571947106	0.0004611223909051574
ACMSD	-0.7844306337316739	-0.0006275445069853391
ACO1	0.0300720635214185	8.850208294353465e-05
ACO2	0.1707171371808099	0.0032227981156993293
ACOT1	-0.4443467322541939	-0.0003945798982417242
ACOT11	0.0704144631762687	7.245648260838049e-05
ACOT12	0.0637984749588636	0.00012255687039597696
ACOT13	-1.7253113883040463	-0.015419107877273262
ACOT2	-0.3048019614180605	-0.0006059462992991043
ACOT4	1.3620368460472083	0.0007286897126352564
ACOT6	-0.8590106785982713	-0.0007799816961672303
ACOT7	-0.1202280770385095	-0.0028691228304469907
ACOT8	-0.069445946108584	-0.00022687990593674392
ACOT9	0.1701589008955039	0.009458112347375688
ACOX1	-0.5522641842024254	-0.016391200987127985
ACOX2	0.4105564133027949	0.006919107233392003
ACOX3	-0.6629594244515433	-0.003924056833328685
ACOXL	-1.077392114436722	-0.008751656145569492
ACP1	0.3368085725036002	0.0020457752693868675
ACP2	-1.1341784200333298	-0.012492975296667128
ACP3	-1.019184141271025	-0.005388426554899909
ACP4	0.4660715212895993	0.0023103165310325432
ACP5	0.2044453104469154	0.0016842204674616893
ACP6	-0.7238092557824785	-0.007069445001227467
ACP7	-0.2698008743095457	-0.0010964707531939937
ACR	-0.7290634311573732	-0.013682333412530421
ACRBP	-0.2077390579324154	-0.0015243892071080641
ACRV1	-1.342783054632599	-0.01489549242503942
ACSBG1	-0.4389536060538576	-0.010263613216751299
ACSBG2	-0.0679860529772786	-0.0015039194779103797
ACSF2	-0.1953317201137662	-0.0008526229582965895
ACSF3	-1.3522970623262396	-0.005467337022984986
ACSL1	-0.2514862696299553	-0.003020350098255763
ACSL3	-1.0772913126330952	-0.0170373621092924
ACSL4	-0.1455065110416195	-0.0018965318649164684
ACSL5	0.1174317033630687	0.00280156814713273
ACSL6	0.2426878152734746	0.005743207148446776
ACSM1	-0.6146329583575953	-0.00296498939111704
ACSM2A	-0.5380072408489496	-0.0019201478425899011
ACSM2B	-0.620044633809668	-0.0019233784540775903
ACSM3	-0.8453799773293398	-0.003693465120951885
