Human_prot	VACV_prot	label
Q9Y3T6	P14357	1
Q05086	P23372	1
O75190	Q805P6	1
P20671	P68466	1
Q16543	P24772	1
Q96KK5	P15059	1
Q05639	P15059	1
P50552	P17367	1
O00339	Q80HW9	1
P0CG48	Q805H7	1
P28838	Q80HW9	1
P05166	P68466	1
P06748	P23372	1
Q96F44	P17367	1
P07437	P21605	1
P61978	P21605	1
Q93086	P23372	1
Q96E22	Q80HW9	1
Q00610	P68466	1
P13637	Q01220	1
Q5EBL4	P68466	1
P22626	P21605	1
Q7L7L0	P68466	1
A0A0J9YX62	Q805P6	1
Q3ZCM7	P21605	1
Q13227	P17367	1
O14920	P24772	1
P62266	Q80HW9	1
P52292	P14357	1
Q99877	P15059	1
Q14103	P21605	1
Q13283	P21605	1
E9KL37	P17367	1
B2R4P9	P15059	1
O95400	P23372	1
O75152	Q805H7	1
P01903	Q80HW9	1
Q96AH0	P23372	1
Q14141	P17367	1
Q53SF7	P68466	1
P04792	P12848	1
Q9BRK4	P18378	1
Q8WXH0	P17367	1
P07437	P68466	1
A0A3B3ISQ4	P14357	1
Q13753	P11158	1
Q4G0J3	P23372	1
P19013	P17367	1
P02511	Q805P6	1
Q9NUU7	P15059	1
Q96DA0	P12848	1
Q9HCC0	P68466	1
Q13162	P14357	1
Q9NSA3	P17367	1
B2ZZ89	P68466	1
F8VXC8	P14357	1
P07910	P21605	1
Q5QNW6	P15059	1
O00459	Q01220	1
P52179	P14357	1
Q9H334	P12848	1
P12036	P04297	1
P48788	P17367	1
P18583	P14357	1
Q9NP74	P18378	1
Q8WZ42	P17367	1
A0A0D9SG04	P68466	1
B2R4R0	P15059	1
Q7Z7A1	P17367	1
Q92624	P12848	1
Q00839	P21605	1
P62750	P21605	1
Q2TBE0	Q80HW9	1
Q9P0K7	P14357	1
P35221	P17367	1
Q99878	P15059	1
O15131	P14357	1
Q92187	Q80HW9	1
A0A1B0GTL5	P23372	1
P46778	Q805H7	1
Q9BT92	P17367	1
P05141	P15059	1
P19237	Q80HW9	1
P22626	P07242	1
P27986	Q01220	1
P35268	P15059	1
Q13085	P68466	1
O00391	Q80HW9	1
Q99729	Q805H7	1
O75665	P17367	1
O00571	P68466	1
Q9BQE3	P24772	1
O75113	P24772	1
Q92569	Q01220	1
Q9BVA1	P21605	1
Q01955	Q80HW9	1
P08238	P24772	1
Q9BQE3	P15059	1
O00151	P68563	1
Q5VU43	P17367	1
Q9P0K7	P12848	1
Q9P2P1	P24772	1
Q12906	P21605	1
Q15057	P04297	1
P46776	P68466	1
P22492	Q01220	1
Q00325	Q01220	1
Q9BYP7	P68466	1
P35222	P23372	1
O75376	P24768	1
O14654	P15059	1
Q6FI13	P68466	1
P57053	P15059	1
Q01850	P24772	1
P35326	P21605	1
Q96KK5	P68466	1
P04792	Q805P6	1
P12235	Q01220	1
Q96JH7	P14357	1
P12277	P21605	1
P58876	P15059	1
P62979	P18378	1
Q9Y3S1	P68466	1
P09651	P21605	1
Q9Y5S2	P17367	1
Q13085	P15059	1
A0A3B3IRW5	P12848	1
Q9NQ29	P18378	1
B4DLJ1	P17367	1
O14933	P21605	1
P04183	P68563	1
P23246	P17367	1
O15037	P24772	1
Q9HCC0	P24772	1
Q86VP6	P12848	1
P19013	P11258	1
O60814	P15059	1
Q9H2G4	P68466	1
P68104	P15059	1
P54652	P24772	1
O00327	P68466	1
Q13227	P11158	1
Q9BQS8	P17367	1
Q5VTE0	Q01220	1
Q9BS26	P14357	1
Q5VTE0	P15059	1
Q05639	Q01220	1
A0A0U1RRM6	P11158	1
Q9Y6K9	P24772	1
O43390	P21605	1
P14923	P21605	1
A4FTV9	P68466	1
P55327	P23372	1
P42336	Q01220	1
Q6FI13	P15059	1
Q5JRA6	P15059	1
P09493	P11258	1
P68104	Q01220	1
O15020	P68466	1
Q8WV24	Q805H7	1
Q13885	P21605	1
Q71DI3	P15059	1
O75398	P14357	1
